Time,Temperature (C)
14:36:51,19.5
14:36:52,19.5
14:36:53,19.5
14:36:54,19.5
14:36:55,19.5
14:36:57,19.5
14:36:58,19.5
14:36:59,19.5
14:37:00,19.5
14:37:01,19.5
14:37:02,19.5
14:37:04,19.5
14:37:05,19.5
14:37:06,19.5
14:37:07,19.5
14:37:08,19.5
14:37:09,19.5
14:37:11,19.5
14:37:12,19.5
14:37:13,19.5
14:37:14,19.5
14:37:15,19.5
14:37:16,19.5
14:37:17,19.5
14:37:19,19.5
14:37:20,19.5
14:37:21,19.5
14:37:22,19.5
14:37:23,19.5
14:37:25,19.5
14:37:26,19.5
14:37:27,19.5
14:37:28,19.5
14:37:29,19.5
14:37:30,19.5
14:37:32,19.5
14:37:33,19.5
14:37:34,19.6
14:37:35,19.6
14:37:36,19.5
14:37:37,19.6
14:37:39,19.6
14:37:40,19.6
14:37:41,19.6
14:37:42,19.6
14:37:43,19.6
14:37:44,19.6
14:37:45,19.6
14:37:47,19.6
14:37:48,19.6
14:37:49,19.6
14:37:50,19.6
14:37:51,19.6
14:37:53,19.6
14:37:54,19.6
14:37:55,19.6
14:37:56,19.6
14:37:57,19.6
14:37:58,19.6
14:38:00,19.6
14:38:01,19.6
14:38:02,19.6
14:38:03,19.6
14:38:04,19.6
14:38:05,19.6
14:38:06,19.6
14:38:08,19.6
14:38:09,19.6
14:38:10,19.6
14:38:11,19.6
14:38:12,19.6
14:38:13,19.6
14:38:14,19.6
14:38:16,19.6
14:38:17,19.6
14:38:18,19.6
14:38:19,19.6
14:38:20,19.6
14:38:21,19.6
14:38:23,19.6
14:38:24,19.6
14:38:25,19.6
14:38:26,19.6
14:38:27,19.6
14:38:28,19.6
14:38:30,19.6
14:38:31,19.6
14:38:32,19.6
14:38:33,19.6
14:38:34,19.6
14:38:35,19.6
14:38:36,19.7
14:38:38,19.6
14:38:39,19.7
14:38:40,19.7
14:38:41,19.7
14:38:42,19.7
14:38:43,19.7
14:38:44,19.7
14:38:46,19.7
14:38:47,19.7
14:38:48,19.7
14:38:49,19.7
14:38:50,19.7
14:38:51,19.7
14:38:53,19.7
14:38:54,19.7
14:38:55,19.7
14:38:56,19.7
14:38:57,19.7
14:38:58,19.7
14:39:00,19.7
14:39:01,19.7
14:39:02,19.7
14:39:03,19.7
14:39:04,19.7
14:39:05,19.7
14:39:06,19.7
14:39:08,19.7
14:39:09,19.7
14:39:10,19.7
14:39:11,19.7
14:39:12,19.7
14:39:13,19.7
14:39:14,19.7
14:39:16,19.7
14:39:17,19.7
14:39:18,19.7
14:39:19,19.7
14:39:20,19.7
14:39:21,19.7
14:39:23,19.7
14:39:24,19.7
14:39:25,19.7
14:39:26,19.7
14:39:27,19.7
14:39:28,19.7
14:39:30,19.7
14:39:31,19.7
14:39:32,19.7
14:39:33,19.7
14:39:34,19.7
14:39:35,19.7
14:39:37,19.7
14:39:38,19.7
14:39:39,19.7
14:39:40,19.7
14:39:41,19.7
14:39:42,19.7
14:39:44,19.7
14:39:45,19.7
14:39:46,19.7
14:39:47,19.7
14:39:48,19.7
14:39:49,19.7
14:39:50,19.7
14:39:52,19.7
14:39:53,19.7
14:39:54,19.7
14:39:55,19.7
14:39:56,19.7
14:39:57,19.7
14:39:59,19.7
14:40:00,19.7
14:40:01,19.7
14:40:02,19.7
14:40:03,19.7
14:40:04,19.7
14:40:06,19.7
14:40:07,19.7
14:40:08,19.7
14:40:09,19.7
14:40:10,19.7
14:40:11,19.7
14:40:13,19.7
14:40:14,19.7
14:40:15,19.8
14:40:16,19.7
14:40:17,19.8
14:40:18,19.7
14:40:19,19.8
14:40:21,19.8
14:40:22,19.7
14:40:23,19.7
14:40:24,19.8
14:40:25,19.8
14:40:26,19.8
14:40:28,19.8
14:40:29,19.8
14:40:30,19.8
14:40:31,19.8
14:40:32,19.8
14:40:33,19.8
14:40:34,19.8
14:40:36,19.8
14:40:37,19.8
14:40:38,19.8
14:40:39,19.8
14:40:40,19.8
14:40:41,19.8
14:40:43,19.8
14:40:44,19.8
14:40:45,19.8
14:40:46,19.8
14:40:47,19.8
14:40:48,19.8
14:40:49,19.8
14:40:51,19.8
14:40:52,19.8
14:40:53,19.8
14:40:54,19.8
14:40:55,19.8
14:40:57,19.8
14:40:58,19.8
14:40:59,19.8
14:41:00,19.8
14:41:01,19.8
14:41:02,19.8
14:41:04,19.8
14:41:05,19.8
14:41:06,19.8
14:41:07,19.8
14:41:08,19.8
14:41:09,19.8
14:41:10,19.8
14:41:12,19.8
14:41:13,19.8
14:41:14,19.8
14:41:15,19.8
14:41:16,19.8
14:41:17,19.8
14:41:19,19.8
14:41:20,19.8
14:41:21,19.8
14:41:22,19.8
14:41:23,19.8
14:41:24,19.8
14:41:26,19.8
14:41:27,19.8
14:41:28,19.8
14:41:29,19.8
14:41:30,19.8
14:41:31,19.8
14:41:32,19.8
14:41:34,19.8
14:41:35,19.8
14:41:36,19.8
14:41:37,19.8
14:41:38,19.8
14:41:39,19.8
14:41:40,19.8
14:41:42,19.8
14:41:43,19.8
14:41:44,19.8
14:41:45,19.8
14:41:46,19.8
14:41:47,19.8
14:41:48,19.8
14:41:50,19.8
14:41:51,19.8
14:41:52,19.8
14:41:53,19.8
14:41:54,19.8
14:41:55,19.8
14:41:57,19.8
14:41:58,19.8
14:41:59,19.8
14:42:00,19.8
14:42:01,19.8
14:42:02,19.8
14:42:03,19.8
14:42:05,19.8
14:42:06,19.8
14:42:07,19.8
14:42:08,19.8
14:42:09,19.8
14:42:10,19.8
14:42:11,19.8
14:42:13,19.8
14:42:14,19.8
14:42:15,19.8
14:42:16,19.8
14:42:17,19.8
14:42:18,19.8
14:42:20,19.8
14:42:21,19.8
14:42:22,19.8
14:42:23,19.8
14:42:24,19.8
14:42:25,19.8
14:42:27,19.8
14:42:28,19.8
14:42:29,19.8
14:42:30,19.8
14:42:31,19.8
14:42:32,19.8
14:42:33,19.8
14:42:35,19.8
14:42:36,19.8
14:42:37,19.8
14:42:38,19.8
14:42:39,19.8
14:42:40,19.8
14:42:41,19.8
14:42:43,19.8
14:42:44,19.8
14:42:45,19.8
14:42:46,19.8
14:42:47,19.8
14:42:49,19.8
14:42:50,19.8
14:42:51,19.8
14:42:52,19.8
14:42:53,19.8
14:42:54,19.8
14:42:55,19.8
14:42:57,19.8
14:42:58,19.8
14:42:59,19.8
14:43:00,19.8
14:43:01,19.8
14:43:03,19.8
14:43:04,19.8
14:43:05,19.8
14:43:06,19.8
14:43:07,19.8
14:43:08,19.8
14:43:09,19.8
14:43:11,19.8
14:43:12,19.8
14:43:13,19.8
14:43:14,19.8
14:43:15,19.8
14:43:16,19.8
14:43:17,19.8
14:43:19,19.8
14:43:20,19.8
14:43:21,19.8
14:43:22,19.8
14:43:23,19.8
14:43:24,19.8
14:43:26,19.8
14:43:27,19.8
14:43:29,19.8
14:43:30,19.8
14:43:31,19.8
14:43:33,19.8
14:43:34,19.8
14:43:35,19.8
14:43:36,19.8
14:43:37,19.8
14:43:38,19.8
14:43:40,19.8
14:43:41,19.8
14:43:42,19.8
14:43:43,19.8
14:43:44,19.8
14:43:45,19.8
14:43:46,19.8
14:43:48,19.8
14:43:49,19.8
14:43:50,19.8
14:43:51,19.8
14:43:52,19.8
14:43:54,19.8
14:43:55,19.8
14:43:56,19.8
14:43:57,19.8
14:43:58,19.8
14:43:59,19.8
14:44:00,19.8
14:44:02,19.8
14:44:03,19.8
14:44:04,19.8
14:44:05,19.8
14:44:06,19.8
14:44:07,19.8
14:44:09,19.8
14:44:10,19.8
14:44:11,19.8
14:44:12,19.8
14:44:13,19.8
14:44:14,19.8
14:44:15,19.8
14:44:17,19.8
14:44:18,19.8
14:44:19,19.8
14:44:20,19.8
14:44:21,19.8
14:44:22,19.8
14:44:24,19.8
14:44:25,19.8
14:44:26,19.8
14:44:27,19.8
14:44:28,19.8
14:44:29,19.8
14:44:30,19.8
14:44:32,19.9
14:44:33,19.8
14:44:34,19.8
14:44:35,19.8
14:44:36,19.8
14:44:37,19.8
14:44:38,19.9
14:44:40,19.8
14:44:41,19.9
14:44:42,19.8
14:44:43,19.8
14:44:44,19.8
14:44:46,19.8
14:44:47,19.8
14:44:48,19.8
14:44:49,19.8
14:44:50,19.8
14:44:51,19.8
14:44:53,19.8
14:44:54,19.8
14:44:55,19.8
14:44:56,19.9
14:44:57,19.8
14:44:58,19.8
14:44:59,19.8
14:45:01,19.9
14:45:02,19.9
14:45:03,19.8
14:45:04,19.9
14:45:05,19.9
14:45:06,19.8
14:45:08,19.9
14:45:09,19.9
14:45:10,19.9
14:45:11,19.9
14:45:12,19.9
14:45:13,19.9
14:45:15,19.9
14:45:16,19.9
14:45:17,19.9
14:45:18,19.9
14:45:19,19.9
14:45:20,19.9
14:45:21,19.9
14:45:23,19.9
14:45:24,19.9
14:45:25,19.9
14:45:26,19.9
14:45:27,19.9
14:45:28,19.8
14:45:29,19.9
14:45:31,19.9
14:45:32,19.9
14:45:33,19.9
14:45:34,19.9
14:45:35,19.9
14:45:37,19.9
14:45:38,19.9
14:45:39,19.9
14:45:40,19.9
14:45:41,19.9
14:45:42,19.9
14:45:44,19.9
14:45:45,19.9
14:45:46,19.9
14:45:47,19.9
14:45:48,19.9
14:45:49,19.9
14:45:50,19.9
14:45:52,19.9
14:45:53,19.9
14:45:54,19.9
14:45:55,19.9
14:45:56,19.9
14:45:57,19.9
14:45:58,19.9
14:46:00,19.9
14:46:01,19.9
14:46:02,19.9
14:46:03,19.9
14:46:04,19.9
14:46:06,19.9
14:46:07,19.9
14:46:08,19.9
14:46:09,19.9
14:46:10,19.9
14:46:11,19.9
14:46:12,19.9
14:46:14,19.9
14:46:15,19.9
14:46:16,19.9
14:46:17,19.9
14:46:18,19.9
14:46:20,19.9
14:46:21,19.9
14:46:22,19.9
14:46:23,19.9
14:46:24,19.9
14:46:25,19.9
14:46:26,19.9
14:46:28,19.9
14:46:29,19.9
14:46:30,19.9
14:46:31,19.9
14:46:32,19.9
14:46:33,19.9
14:46:35,19.9
14:46:36,19.9
14:46:37,19.9
14:46:38,19.9
14:46:39,19.9
14:46:40,19.9
14:46:42,19.9
14:46:43,19.9
14:46:44,19.9
14:46:45,19.9
14:46:46,19.9
14:46:47,19.9
14:46:49,19.9
14:46:50,19.9
14:46:51,19.9
14:46:52,19.9
14:46:53,19.9
14:46:54,19.9
14:46:56,19.9
14:46:57,19.9
14:46:58,19.9
14:46:59,19.9
14:47:00,19.9
14:47:01,19.9
14:47:02,19.9
14:47:04,19.9
14:47:05,19.9
14:47:06,19.9
14:47:07,19.9
14:47:08,19.9
14:47:09,19.9
14:47:11,19.9
14:47:12,19.9
14:47:13,19.9
14:47:14,19.9
14:47:15,19.9
14:47:16,19.9
14:47:18,19.9
14:47:19,19.9
14:47:20,19.9
14:47:21,19.9
14:47:22,19.9
14:47:23,19.9
14:47:25,19.9
14:47:26,19.9
14:47:27,19.9
14:47:28,19.9
14:47:29,19.9
14:47:30,19.9
14:47:31,19.9
14:47:33,19.9
14:47:34,19.9
14:47:35,19.9
14:47:36,19.9
14:47:37,19.9
14:47:39,19.9
14:47:40,19.9
14:47:41,19.9
14:47:42,19.9
14:47:43,19.9
14:47:44,19.9
14:47:46,19.9
14:47:47,19.9
14:47:48,19.9
14:47:49,19.9
14:47:50,19.9
14:47:51,19.9
14:47:53,19.9
14:47:54,19.9
14:47:55,19.9
14:47:56,19.9
14:47:57,19.9
14:47:58,19.9
14:47:59,19.9
14:48:01,19.9
14:48:02,19.9
14:48:03,19.9
14:48:04,19.9
14:48:05,19.9
14:48:06,19.9
14:48:08,19.9
14:48:09,19.9
14:48:10,19.9
14:48:11,19.9
14:48:12,19.9
14:48:13,19.9
14:48:14,19.9
14:48:16,19.9
14:48:17,19.9
14:48:18,19.9
14:48:19,19.9
14:48:20,19.9
14:48:21,19.9
14:48:23,19.9
14:48:24,19.9
14:48:25,19.9
14:48:26,19.9
14:48:27,19.9
14:48:28,19.9
14:48:29,19.9
14:48:31,19.9
14:48:32,19.9
14:48:33,19.9
14:48:34,19.9
14:48:35,19.9
14:48:36,19.9
14:48:38,19.9
14:48:39,19.9
14:48:40,19.9
14:48:41,19.9
14:48:42,19.9
14:48:43,19.9
14:48:44,19.9
14:48:46,19.9
14:48:47,19.9
14:48:48,19.9
14:48:49,19.9
14:48:50,19.9
14:48:51,19.9
14:48:53,19.9
14:48:54,19.9
14:48:55,19.9
14:48:56,19.9
14:48:57,19.9
14:48:58,19.9
14:49:00,19.9
14:49:01,19.9
14:49:02,19.9
14:49:03,19.9
14:49:04,19.9
14:49:05,19.9
14:49:06,19.9
14:49:08,19.9
14:49:09,19.9
14:49:10,19.9
14:49:11,19.9
14:49:12,19.9
14:49:14,19.9
14:49:15,19.9
14:49:16,19.9
14:49:17,19.9
14:49:18,19.9
14:49:19,19.9
14:49:20,19.9
14:49:22,19.9
14:49:23,19.9
14:49:24,19.9
14:49:25,19.9
14:49:26,19.9
14:49:28,19.9
14:49:29,19.9
14:49:30,19.9
14:49:31,19.9
14:49:32,19.9
14:49:33,19.9
14:49:34,19.9
14:49:36,19.9
14:49:37,19.9
14:49:38,20.0
14:49:39,20.0
14:49:40,20.0
14:49:41,20.0
14:49:43,20.0
14:49:44,20.0
14:49:45,20.1
14:49:46,20.1
14:49:47,20.1
14:49:48,20.1
14:49:50,20.2
14:49:51,20.2
14:49:52,20.2
14:49:53,20.3
14:49:54,20.3
14:49:55,20.3
14:49:57,20.4
14:49:58,20.4
14:49:59,20.5
14:50:00,20.5
14:50:01,20.5
14:50:02,20.6
14:50:03,20.6
14:50:05,20.7
14:50:06,20.7
14:50:07,20.8
14:50:08,20.8
14:50:09,20.9
14:50:10,21.0
14:50:12,21.0
14:50:13,21.1
14:50:14,21.1
14:50:15,21.2
14:50:16,21.3
14:50:17,21.4
14:50:18,21.4
14:50:20,21.5
14:50:21,21.6
14:50:22,21.6
14:50:23,21.7
14:50:24,21.8
14:50:25,21.9
14:50:27,21.9
14:50:28,22.0
14:50:29,22.1
14:50:30,22.2
14:50:31,22.2
14:50:32,22.3
14:50:33,22.4
14:50:35,22.5
14:50:36,22.6
14:50:37,22.6
14:50:38,22.7
14:50:39,22.8
14:50:40,22.9
14:50:41,23.0
14:50:43,23.0
14:50:44,23.1
14:50:45,23.2
14:50:46,23.3
14:50:47,23.4
14:50:48,23.4
14:50:50,23.5
14:50:51,23.6
14:50:52,23.7
14:50:53,23.7
14:50:54,23.8
14:50:55,23.9
14:50:57,24.0
14:50:58,24.1
14:50:59,24.1
14:51:00,24.2
14:51:01,24.3
14:51:02,24.4
14:51:04,24.4
14:51:05,24.5
14:51:06,24.6
14:51:07,24.7
14:51:08,24.7
