Time,Current (mA)
14:29:23.576000,0.00
14:29:23.576000,0.00
14:29:23.576000,0.00
14:29:27.147000,0.00
14:29:27.347000,0.00
14:29:27.552000,0.00
14:29:27.753000,0.00
14:29:28.764000,0.00
14:29:28.965000,0.00
14:29:29.166000,0.00
14:29:29.569000,0.00
14:29:29.977000,0.01
14:29:30.177000,0.00
14:29:30.583000,0.00
14:29:30.782000,0.00
14:29:30.984000,0.00
14:29:31.382000,0.00
14:29:31.796000,0.00
14:29:32.397000,0.00
14:29:32.798000,0.00
14:29:33.614000,0.00
14:29:33.815000,0.00
14:29:34.016000,0.00
14:29:34.221000,0.00
14:29:34.616000,0.00
14:29:35.433000,0.00
14:29:35.634000,0.00
14:29:35.835000,0.00
14:29:36.034000,0.00
14:29:36.240000,0.00
14:29:36.441000,0.00
14:29:36.846000,0.00
14:29:37.251000,0.00
14:29:37.452000,0.00
14:29:38.058000,0.00
14:29:38.259000,0.00
14:29:38.660000,0.00
14:29:39.065000,0.00
14:29:39.264000,0.00
14:29:39.468000,0.00
14:29:39.875000,0.00
14:29:40.483000,0.00
14:29:41.081000,0.00
14:29:42.097000,0.00
14:29:42.300000,0.00
14:29:42.498000,0.00
14:29:42.707000,0.00
14:29:43.104000,0.00
14:29:43.314000,0.00
14:29:43.715000,0.01
14:29:44.119000,0.00
14:29:44.321000,0.00
14:29:44.525000,0.00
14:29:45.132000,0.00
14:29:45.333000,0.00
14:29:45.533000,0.00
14:29:45.731000,0.00
14:29:45.939000,0.00
14:29:46.135000,0.00
14:29:46.951000,0.00
14:29:47.151000,0.00
14:29:47.351000,0.00
14:29:47.753000,0.00
14:29:47.955000,0.00
14:29:48.560000,0.00
14:29:48.769000,0.00
14:29:48.965000,0.00
14:29:49.771000,0.00
14:29:49.981000,0.00
14:29:50.180000,0.00
14:29:50.378000,0.00
14:29:50.985000,0.00
14:29:51.190000,0.00
14:29:51.592000,0.00
14:29:51.800000,0.00
14:29:51.997000,0.01
14:29:52.192000,0.00
14:29:52.603000,0.00
14:29:53.815000,0.00
14:29:54.016000,0.00
14:29:54.421000,0.00
14:29:54.622000,0.00
14:29:55.027000,0.00
14:29:55.228000,0.00
14:29:55.437000,0.00
14:29:55.633000,0.00
14:29:55.834000,0.00
14:29:56.038000,0.00
14:29:56.646000,0.00
14:29:56.846000,0.00
14:29:57.048000,0.00
14:29:57.256000,0.00
14:29:57.653000,0.00
14:29:58.468000,0.00
14:29:58.665000,0.00
14:29:59.473000,0.00
14:30:00.082000,0.00
14:30:00.287000,0.00
14:30:00.488000,0.00
14:30:01.694000,0.00
14:30:01.900000,0.00
14:30:02.097000,0.00
14:30:02.305000,0.00
14:30:02.507000,0.00
14:30:02.905000,0.00
14:30:03.518000,0.00
14:30:03.719000,0.00
14:30:04.325000,0.00
14:30:04.530000,0.00
14:30:04.931000,0.00
14:30:05.537000,0.00
14:30:06.348000,0.00
14:30:06.549000,0.00
14:30:06.751000,0.01
14:30:06.954000,0.00
14:30:08.163000,0.00
14:30:08.368000,0.00
14:30:08.563000,0.00
14:30:08.774000,0.00
14:30:09.175000,0.00
14:30:09.573000,0.00
14:30:09.775000,0.00
14:30:10.182000,0.00
14:30:10.380000,0.00
14:30:10.980000,0.00
14:30:11.194000,0.00
14:30:11.594000,0.00
14:30:11.804000,0.00
14:30:12.202000,0.00
14:30:12.605000,0.00
14:30:13.213000,0.00
14:30:13.414000,0.00
14:30:13.623000,0.00
14:30:13.820000,0.00
14:30:14.020000,0.00
14:30:15.032000,0.00
14:30:15.230000,0.00
14:30:16.048000,0.00
14:30:16.444000,0.00
14:30:16.655000,0.00
14:30:16.850000,0.00
14:30:17.257000,0.00
14:30:17.863000,0.00
14:30:18.063000,0.00
14:30:18.263000,0.00
14:30:18.473000,0.00
14:30:19.476000,0.00
14:30:19.681000,0.00
14:30:19.873000,0.00
14:30:21.503000,0.00
14:30:21.900000,0.00
14:30:22.105000,0.00
14:30:22.305000,0.00
14:30:22.713000,0.01
14:30:22.912000,0.00
14:30:23.114000,0.00
14:30:23.316000,0.00
14:30:23.514000,0.00
14:30:24.534000,0.00
14:30:24.735000,0.00
14:30:24.931000,0.00
14:30:25.337000,0.00
14:30:25.530000,0.00
14:30:26.353000,0.00
14:30:26.549000,0.00
14:30:26.748000,0.00
14:30:27.356000,0.00
14:30:27.562000,0.00
14:30:27.963000,0.00
14:30:28.163000,0.00
14:30:28.368000,0.00
14:30:28.563000,0.00
14:30:29.580000,0.00
14:30:29.781000,0.00
14:30:29.990000,0.00
14:30:30.187000,0.00
14:30:30.387000,0.00
14:30:31.393000,0.00
14:30:31.592000,0.00
14:30:32.207000,0.00
14:30:32.405000,0.00
14:30:32.612000,0.00
14:30:32.813000,0.00
14:30:33.016000,0.00
14:30:33.413000,0.00
14:30:33.824000,0.00
14:30:34.024000,0.00
14:30:34.229000,0.00
14:30:34.430000,0.01
14:30:35.036000,0.00
14:30:35.442000,0.00
14:30:36.048000,0.00
14:30:36.249000,0.00
14:30:36.449000,0.00
14:30:36.654000,0.00
14:30:37.461000,0.00
14:30:37.661000,0.00
14:30:37.865000,0.00
14:30:38.062000,0.00
14:30:38.667000,0.00
14:30:38.871000,0.00
14:30:39.079000,0.00
14:30:39.278000,0.00
14:30:39.478000,0.00
14:30:39.679000,0.00
14:30:39.878000,0.00
14:30:40.895000,0.00
14:30:41.097000,0.00
14:30:41.295000,0.00
14:30:42.714000,0.00
14:30:42.914000,0.00
14:30:43.321000,0.00
14:30:43.928000,0.00
14:30:44.129000,0.00
14:30:44.330000,0.00
14:30:44.535000,0.00
14:30:45.747000,0.00
14:30:45.946000,0.00
14:30:46.144000,0.00
14:30:46.750000,0.00
