Time,Temperature (C)
18:23:03,27.9
18:23:04,27.9
18:23:06,27.9
18:23:07,27.9
18:23:09,27.9
18:23:10,27.9
18:23:12,27.9
18:23:14,27.9
18:23:15,27.9
18:23:17,27.9
18:23:19,27.9
18:23:20,27.9
18:23:21,27.9
18:23:23,27.9
18:23:25,27.9
18:23:26,27.9
18:23:28,27.9
18:23:30,27.9
18:23:31,27.9
18:23:34,28.0
18:23:36,27.9
18:23:37,28.0
18:23:39,28.0
18:23:40,28.0
18:23:42,28.0
18:23:43,28.0
18:23:45,28.0
18:23:46,28.0
18:23:48,28.0
18:23:49,28.0
18:23:51,28.0
18:23:52,28.0
18:23:54,28.0
18:23:55,28.0
18:23:57,28.0
18:23:58,28.0
18:24:00,28.0
18:24:01,28.0
18:24:03,28.0
18:24:04,28.0
18:24:06,28.0
18:24:07,28.0
18:24:11,28.0
18:24:12,28.0
18:24:14,28.0
18:24:15,28.0
18:24:17,28.0
18:24:18,28.0
18:24:20,28.0
18:24:22,28.0
18:24:23,28.0
18:24:25,28.0
18:24:26,28.0
18:24:28,28.0
18:24:29,28.0
18:24:33,28.0
18:24:34,28.0
18:24:36,28.0
18:24:37,28.0
18:24:38,28.0
18:24:40,28.0
18:24:43,28.0
18:24:44,28.0
18:24:46,27.9
18:24:47,28.0
18:24:49,27.9
18:24:50,27.9
18:24:52,27.9
18:24:53,27.9
18:24:55,27.9
18:24:57,27.9
18:24:58,27.9
18:25:00,27.9
18:25:01,27.9
18:25:03,27.9
18:25:04,27.9
18:25:06,27.9
18:25:07,27.9
18:25:09,27.9
18:25:10,27.9
18:25:12,27.9
18:25:13,27.9
18:25:15,27.9
18:25:16,27.9
18:25:17,27.9
18:25:19,27.9
18:25:21,27.9
18:25:22,27.9
18:25:24,27.9
18:25:25,27.9
18:25:27,27.9
18:25:28,27.9
18:25:30,27.9
18:25:32,27.9
18:25:33,27.9
18:25:35,27.9
18:25:37,27.9
18:25:38,27.9
18:25:39,27.9
18:25:41,27.9
18:25:43,27.9
18:25:44,27.9
18:25:45,27.9
18:25:47,27.9
18:25:48,27.9
18:25:50,27.9
18:25:52,27.9
18:25:53,27.9
18:25:55,27.9
18:25:56,27.9
18:25:58,27.9
18:25:59,27.9
18:26:01,27.9
18:26:03,27.9
18:26:04,27.9
18:26:06,27.9
18:26:07,27.9
18:26:09,27.9
18:26:10,27.9
18:26:12,27.9
18:26:14,27.9
18:26:15,27.9
18:26:17,27.9
18:26:18,27.9
18:26:20,27.9
18:26:22,27.9
18:26:24,27.9
18:26:25,27.9
18:26:27,27.9
18:26:28,27.9
18:26:30,27.9
18:26:31,27.9
18:26:33,27.9
18:26:34,27.9
18:26:36,27.9
18:26:37,27.9
18:26:39,27.9
18:26:40,27.9
18:26:42,27.9
18:26:43,27.9
18:26:45,27.9
18:26:46,27.9
18:26:49,27.9
18:26:51,27.9
18:26:53,28.0
18:26:54,28.0
18:26:56,28.0
18:26:57,28.0
18:26:59,28.0
18:27:00,28.0
18:27:02,28.0
18:27:03,28.0
18:27:05,28.0
18:27:07,28.0
18:27:08,28.0
18:27:10,28.0
18:27:12,28.0
18:27:13,28.0
18:27:14,28.0
18:27:16,28.0
18:27:17,28.0
18:27:19,28.0
18:27:20,28.0
18:27:22,28.0
