Time,Temperature (C)
11:26:12,19.9
11:26:13,19.9
11:26:14,19.9
11:26:15,19.9
11:26:16,19.9
11:26:18,19.9
11:26:19,19.9
11:26:20,19.9
11:26:21,19.9
11:26:23,19.9
11:26:24,19.9
11:26:25,19.9
11:26:26,19.9
11:26:28,19.9
11:26:29,19.9
11:26:30,20.0
11:26:31,20.0
11:26:33,19.9
11:26:34,20.0
11:26:35,20.0
11:26:37,20.0
11:26:38,20.0
11:26:39,20.0
11:26:40,20.0
11:26:42,20.0
11:26:43,20.0
11:26:44,20.0
11:26:45,20.0
11:26:47,20.0
11:26:48,20.0
11:26:49,20.0
11:26:50,20.0
11:26:52,20.0
11:26:53,20.0
11:26:54,20.0
11:26:55,20.0
11:26:57,20.0
11:26:58,20.0
11:26:59,20.0
11:27:01,20.0
11:27:02,20.0
11:27:03,20.0
11:27:04,20.0
11:27:06,20.0
11:27:07,20.0
11:27:08,20.0
11:27:09,20.0
11:27:10,20.0
11:27:12,20.0
11:27:13,20.0
11:27:14,20.0
11:27:15,20.1
11:27:17,20.1
11:27:18,20.1
11:27:19,20.1
11:27:20,20.1
11:27:22,20.1
11:27:23,20.1
11:27:24,20.1
11:27:25,20.1
11:27:26,20.1
11:27:28,20.1
11:27:29,20.1
11:27:30,20.1
11:27:31,20.1
11:27:33,20.1
11:27:34,20.1
11:27:35,20.1
11:27:36,20.1
11:27:37,20.1
11:27:39,20.1
11:27:40,20.1
11:27:41,20.1
11:27:43,20.1
11:27:44,20.1
11:27:45,20.1
11:27:46,20.1
11:27:48,20.1
11:27:49,20.1
11:27:50,20.1
11:27:51,20.1
11:27:53,20.1
11:27:54,20.1
11:27:55,20.1
11:27:56,20.1
11:27:58,20.1
11:27:59,20.1
11:28:00,20.1
11:28:01,20.1
11:28:02,20.1
11:28:04,20.1
11:28:05,20.1
11:28:06,20.1
11:28:07,20.1
11:28:09,20.1
11:28:10,20.1
11:28:11,20.1
11:28:12,20.1
11:28:13,20.2
11:28:15,20.1
11:28:16,20.1
11:28:17,20.2
11:28:18,20.2
11:28:20,20.2
11:28:21,20.2
11:28:24,20.2
11:28:25,20.2
11:28:26,20.2
11:28:27,20.2
11:28:29,20.2
11:28:30,20.2
11:28:31,20.2
11:28:32,20.2
11:28:34,20.2
11:28:35,20.2
11:28:36,20.2
11:28:38,20.2
11:28:39,20.2
11:28:40,20.2
11:28:41,20.2
11:28:45,20.2
11:28:46,20.2
11:28:48,20.2
11:28:49,20.2
11:28:50,20.2
11:28:53,20.2
11:28:54,20.2
11:28:55,20.2
11:28:57,20.2
11:28:58,20.2
11:28:59,20.2
11:29:00,20.2
11:29:02,20.2
11:29:03,20.2
11:29:04,20.2
11:29:06,20.2
11:29:07,20.2
11:29:09,20.2
11:29:10,20.2
11:29:12,20.2
11:29:13,20.2
11:29:14,20.2
11:29:15,20.2
11:29:17,20.2
11:29:18,20.2
11:29:19,20.2
11:29:20,20.2
11:29:22,20.2
11:29:23,20.2
11:29:24,20.2
11:29:25,20.2
11:29:27,20.2
11:29:28,20.2
11:29:29,20.2
11:29:31,20.2
11:29:32,20.2
11:29:33,20.2
11:29:34,20.2
11:29:36,20.2
11:29:37,20.2
11:29:38,20.2
11:29:39,20.3
11:29:41,20.3
11:29:42,20.3
11:29:43,20.3
11:29:44,20.3
11:29:45,20.3
11:29:47,20.3
11:29:48,20.3
11:29:49,20.3
11:29:50,20.3
11:29:52,20.3
11:29:53,20.3
11:29:54,20.3
11:29:55,20.3
11:29:57,20.3
11:29:58,20.3
11:29:59,20.3
11:30:00,20.3
11:30:02,20.3
11:30:03,20.3
11:30:04,20.3
11:30:05,20.3
11:30:07,20.3
11:30:08,20.3
11:30:09,20.3
11:30:11,20.3
11:30:12,20.3
11:30:13,20.3
11:30:14,20.3
11:30:16,20.3
11:30:17,20.3
11:30:18,20.3
11:30:19,20.3
11:30:20,20.3
11:30:22,20.3
11:30:23,20.3
11:30:24,20.3
11:30:25,20.3
11:30:27,20.3
11:30:28,20.3
11:30:29,20.3
11:30:30,20.3
11:30:32,20.3
11:30:33,20.3
11:30:34,20.3
11:30:35,20.3
11:30:36,20.3
11:30:38,20.3
11:30:39,20.3
11:30:40,20.3
11:30:42,20.3
11:30:43,20.3
11:30:44,20.3
11:30:45,20.3
11:30:47,20.3
11:30:48,20.3
11:30:49,20.3
11:30:50,20.3
11:30:52,20.3
11:30:53,20.3
11:30:54,20.3
11:30:56,20.3
11:30:57,20.3
11:30:58,20.3
11:30:59,20.3
11:31:01,20.3
11:31:02,20.3
11:31:03,20.3
11:31:04,20.3
11:31:06,20.3
11:31:07,20.3
11:31:08,20.3
11:31:10,20.3
11:31:11,20.3
11:31:12,20.3
11:31:13,20.3
11:31:14,20.3
11:31:16,20.3
11:31:17,20.3
11:31:18,20.3
11:31:21,20.3
11:31:22,20.3
11:31:23,20.3
11:31:25,20.3
11:31:26,20.3
11:31:27,20.3
11:31:28,20.3
11:31:30,20.3
11:31:31,20.3
11:31:32,20.3
11:31:33,20.3
11:31:36,20.3
11:31:38,20.3
11:31:40,20.3
11:31:41,20.4
11:31:42,20.4
11:31:43,20.4
11:31:45,20.4
11:31:46,20.4
11:31:47,20.4
11:31:48,20.4
11:31:50,20.4
11:31:51,20.4
11:31:52,20.4
11:31:53,20.4
11:31:55,20.4
11:31:56,20.4
11:31:57,20.4
11:31:59,20.4
11:32:00,20.4
11:32:01,20.4
11:32:02,20.4
11:32:04,20.4
11:32:05,20.4
11:32:06,20.4
11:32:08,20.4
11:32:09,20.4
11:32:10,20.4
11:32:11,20.4
11:32:13,20.4
11:32:14,20.4
11:32:15,20.4
11:32:16,20.4
11:32:18,20.4
11:32:19,20.4
11:32:20,20.4
11:32:22,20.4
11:32:23,20.4
11:32:24,20.4
11:32:25,20.4
11:32:27,20.4
11:32:28,20.4
11:32:29,20.4
11:32:30,20.4
11:32:32,20.4
11:32:33,20.4
11:32:34,20.4
11:32:35,20.4
11:32:36,20.4
11:32:38,20.4
11:32:39,20.4
11:32:40,20.4
11:32:41,20.4
11:32:43,20.4
11:32:44,20.4
11:32:45,20.4
11:32:46,20.4
11:32:48,20.4
11:32:49,20.4
11:32:50,20.4
11:32:51,20.4
11:32:53,20.4
11:32:54,20.4
11:32:55,20.4
11:32:57,20.4
11:32:58,20.4
11:32:59,20.4
11:33:00,20.4
11:33:02,20.4
11:33:03,20.4
11:33:04,20.4
11:33:05,20.4
11:33:07,20.4
11:33:08,20.4
11:33:09,20.4
11:33:10,20.4
11:33:12,20.4
11:33:13,20.4
11:33:14,20.4
11:33:15,20.4
11:33:17,20.4
11:33:18,20.4
11:33:19,20.4
11:33:20,20.4
11:33:22,20.4
11:33:24,20.4
11:33:25,20.4
11:33:27,20.4
11:33:28,20.4
11:33:29,20.4
11:33:30,20.4
11:33:32,20.4
11:33:33,20.4
11:33:34,20.4
11:33:35,20.4
11:33:37,20.4
11:33:38,20.4
11:33:39,20.4
11:33:40,20.4
11:33:42,20.4
11:33:43,20.4
11:33:44,20.4
11:33:46,20.4
11:33:47,20.4
11:33:48,20.4
11:33:49,20.4
11:33:50,20.4
11:33:52,20.4
11:33:53,20.4
11:33:54,20.4
11:33:55,20.4
11:33:56,20.4
11:33:58,20.4
11:33:59,20.4
11:34:00,20.4
11:34:01,20.4
11:34:03,20.4
11:34:04,20.4
11:34:05,20.4
11:34:06,20.4
11:34:08,20.4
11:34:09,20.4
11:34:10,20.4
11:34:12,20.4
11:34:13,20.4
11:34:14,20.4
11:34:15,20.4
11:34:16,20.4
11:34:18,20.4
11:34:19,20.4
11:34:20,20.4
11:34:21,20.4
11:34:22,20.4
11:34:24,20.4
11:34:25,20.4
11:34:26,20.4
11:34:28,20.4
11:34:29,20.4
11:34:30,20.4
11:34:31,20.4
11:34:33,20.4
11:34:34,20.4
11:34:35,20.4
11:34:36,20.4
11:34:37,20.4
11:34:39,20.4
11:34:40,20.4
11:34:41,20.4
11:34:42,20.4
11:34:44,20.4
11:34:45,20.4
11:34:46,20.4
11:34:47,20.4
11:34:49,20.4
11:34:50,20.4
11:34:51,20.4
11:34:52,20.4
11:34:53,20.4
11:34:55,20.4
11:34:56,20.4
11:34:57,20.4
11:34:58,20.4
11:35:00,20.4
11:35:01,20.4
11:35:02,20.4
11:35:03,20.4
11:35:05,20.4
11:35:06,20.4
11:35:07,20.4
11:35:08,20.4
11:35:10,20.4
11:35:11,20.4
11:35:12,20.4
11:35:13,20.4
11:35:15,20.4
11:35:16,20.4
11:35:17,20.4
11:35:18,20.4
11:35:20,20.4
11:35:21,20.4
11:35:22,20.4
11:35:24,20.4
11:35:25,20.4
11:35:26,20.4
11:35:27,20.4
11:35:29,20.4
11:35:30,20.4
11:35:31,20.4
11:35:32,20.4
11:35:34,20.4
11:35:35,20.4
11:35:36,20.4
11:35:38,20.4
11:35:39,20.4
11:35:40,20.4
11:35:41,20.4
11:35:43,20.4
11:35:44,20.4
11:35:45,20.4
11:35:46,20.4
11:35:47,20.4
11:35:49,20.4
11:35:50,20.4
11:35:51,20.4
11:35:52,20.4
11:35:54,20.4
11:35:55,20.4
11:35:56,20.4
11:35:58,20.4
11:36:00,20.4
11:36:01,20.4
11:36:03,20.4
11:36:04,20.4
11:36:05,20.4
11:36:06,20.4
11:36:08,20.4
11:36:09,20.4
11:36:10,20.4
11:36:12,20.4
11:36:14,20.4
11:36:15,20.4
11:36:17,20.4
11:36:18,20.4
11:36:19,20.4
11:36:20,20.4
11:36:22,20.4
11:36:23,20.4
11:36:24,20.4
11:36:25,20.4
11:36:26,20.4
11:36:28,20.4
11:36:29,20.4
11:36:30,20.4
11:36:32,20.4
11:36:33,20.4
11:36:34,20.4
11:36:35,20.4
11:36:36,20.4
11:36:39,20.4
11:36:40,20.4
11:36:41,20.4
11:36:43,20.4
11:36:44,20.4
11:36:45,20.4
11:36:46,20.4
11:36:48,20.4
11:36:49,20.4
11:36:50,20.4
11:36:51,20.4
11:36:53,20.4
11:36:54,20.4
11:36:55,20.4
11:36:56,20.4
11:36:57,20.4
11:36:59,20.4
11:37:00,20.4
11:37:01,20.4
11:37:04,20.4
11:37:05,20.4
11:37:06,20.4
11:37:08,20.4
11:37:09,20.4
11:37:10,20.4
11:37:11,20.4
11:37:13,20.4
11:37:14,20.4
11:37:17,20.4
11:37:18,20.4
11:37:19,20.4
11:37:20,20.4
11:37:22,20.4
11:37:23,20.4
11:37:24,20.4
11:37:25,20.4
11:37:27,20.4
11:37:28,20.4
11:37:29,20.4
11:37:30,20.4
11:37:32,20.4
11:37:33,20.4
11:37:34,20.4
11:37:35,20.4
11:37:37,20.4
11:37:38,20.4
11:37:39,20.4
11:37:40,20.4
11:37:42,20.4
11:37:43,20.4
11:37:44,20.4
11:37:45,20.4
11:37:47,20.4
11:37:49,20.4
11:37:50,20.4
11:37:52,20.4
11:37:53,20.4
11:37:54,20.4
11:37:55,20.4
11:37:57,20.4
11:37:58,20.4
11:37:59,20.4
11:38:00,20.4
11:38:02,20.4
11:38:03,20.4
11:38:04,20.4
11:38:05,20.4
11:38:07,20.4
11:38:08,20.4
11:38:09,20.4
11:38:11,20.4
11:38:12,20.4
11:38:13,20.5
11:38:14,20.4
11:38:16,20.4
11:38:17,20.4
11:38:18,20.4
11:38:19,20.5
11:38:21,20.4
11:38:22,20.4
11:38:23,20.5
11:38:25,20.4
11:38:26,20.4
11:38:27,20.5
11:38:28,20.4
11:38:30,20.4
11:38:31,20.4
11:38:32,20.4
11:38:33,20.4
11:38:35,20.4
11:38:36,20.4
11:38:37,20.4
11:38:38,20.4
11:38:40,20.4
11:38:41,20.4
11:38:42,20.4
11:38:43,20.4
11:38:45,20.4
11:38:46,20.4
11:38:47,20.4
11:38:49,20.4
11:38:50,20.4
11:38:51,20.4
11:38:52,20.4
11:38:54,20.4
11:38:55,20.4
11:38:56,20.4
11:38:58,20.4
11:38:59,20.4
11:39:00,20.4
11:39:01,20.4
11:39:03,20.4
11:39:04,20.4
11:39:05,20.4
11:39:06,20.4
11:39:08,20.4
11:39:09,20.4
11:39:10,20.4
11:39:12,20.4
11:39:13,20.4
11:39:14,20.5
11:39:15,20.4
11:39:17,20.4
11:39:18,20.4
11:39:19,20.4
11:39:20,20.4
11:39:21,20.4
11:39:23,20.4
11:39:24,20.4
11:39:25,20.4
11:39:27,20.4
11:39:28,20.4
11:39:29,20.4
11:39:30,20.4
11:39:32,20.4
11:39:33,20.4
11:39:34,20.5
11:39:35,20.5
11:39:37,20.5
11:39:38,20.4
11:39:39,20.4
11:39:40,20.4
11:39:41,20.4
11:39:43,20.5
11:39:44,20.4
11:39:45,20.5
11:39:47,20.5
11:39:48,20.5
11:39:49,20.5
11:39:50,20.5
11:39:52,20.4
11:39:53,20.5
11:39:54,20.4
11:39:56,20.4
11:39:57,20.5
11:39:58,20.4
11:39:59,20.5
11:40:01,20.4
11:40:02,20.5
11:40:03,20.5
11:40:04,20.4
11:40:05,20.4
11:40:08,20.4
11:40:09,20.5
11:40:11,20.5
11:40:12,20.5
11:40:13,20.4
11:40:14,20.5
11:40:16,20.5
11:40:17,20.5
11:40:18,20.5
11:40:19,20.5
11:40:21,20.5
11:40:22,20.5
11:40:23,20.5
11:40:25,20.5
11:40:26,20.5
11:40:27,20.5
11:40:28,20.5
11:40:29,20.5
11:40:31,20.5
11:40:32,20.5
11:40:33,20.5
11:40:35,20.5
11:40:36,20.4
11:40:37,20.5
11:40:38,20.5
11:40:40,20.5
11:40:41,20.5
11:40:42,20.5
11:40:43,20.4
11:40:45,20.5
11:40:46,20.4
11:40:47,20.5
11:40:49,20.5
11:40:50,20.5
11:40:51,20.5
11:40:52,20.4
11:40:54,20.5
11:40:55,20.5
11:40:56,20.5
11:40:57,20.5
11:40:59,20.5
11:41:00,20.5
11:41:01,20.5
11:41:03,20.4
11:41:04,20.5
11:41:05,20.5
11:41:06,20.5
11:41:08,20.5
11:41:09,20.5
11:41:10,20.5
11:41:11,20.5
11:41:12,20.5
11:41:14,20.5
11:41:15,20.5
11:41:16,20.4
11:41:19,20.5
11:41:20,20.5
11:41:21,20.5
11:41:22,20.4
11:41:24,20.5
11:41:25,20.5
11:41:26,20.5
11:41:29,20.5
11:41:30,20.4
11:41:31,20.5
11:41:33,20.5
11:41:35,20.5
11:41:36,20.5
11:41:38,20.5
11:41:39,20.5
11:41:40,20.5
11:41:41,20.4
11:41:43,20.5
11:41:44,20.5
11:41:45,20.5
11:41:46,20.5
11:41:48,20.5
11:41:49,20.5
11:41:50,20.5
11:41:51,20.5
11:41:52,20.5
11:41:54,20.5
11:41:55,20.5
11:41:56,20.5
11:41:57,20.5
11:41:58,20.5
11:42:00,20.5
11:42:01,20.5
11:42:02,20.5
11:42:04,20.5
11:42:05,20.5
11:42:06,20.5
11:42:07,20.5
11:42:09,20.5
11:42:10,20.5
11:42:11,20.5
11:42:12,20.5
11:42:14,20.5
11:42:15,20.5
11:42:16,20.5
11:42:17,20.5
11:42:19,20.5
11:42:20,20.5
11:42:21,20.5
11:42:23,20.5
11:42:24,20.5
11:42:25,20.5
11:42:26,20.5
11:42:27,20.5
11:42:29,20.5
11:42:31,20.5
11:42:32,20.5
11:42:34,20.5
11:42:36,20.5
11:42:37,20.5
11:42:38,20.5
11:42:40,20.5
11:42:41,20.5
11:42:42,20.5
11:42:44,20.5
11:42:45,20.5
11:42:46,20.5
11:42:47,20.5
11:42:49,20.5
11:42:50,20.5
11:42:51,20.5
11:42:52,20.5
11:42:54,20.5
11:42:55,20.5
11:42:56,20.5
11:42:58,20.5
11:42:59,20.5
11:43:00,20.5
11:43:01,20.5
11:43:03,20.5
11:43:04,20.5
11:43:05,20.5
11:43:06,20.5
11:43:08,20.5
11:43:09,20.5
11:43:10,20.5
11:43:12,20.5
11:43:13,20.5
11:43:14,20.5
11:43:15,20.5
11:43:16,20.5
11:43:18,20.5
11:43:19,20.5
11:43:23,20.5
11:43:24,20.5
11:43:25,20.5
11:43:28,20.5
11:43:29,20.5
11:43:30,20.5
11:43:32,20.5
11:43:33,20.5
11:43:34,20.5
11:43:35,20.5
11:43:36,20.5
11:43:38,20.5
11:43:39,20.5
11:43:40,20.5
11:43:42,20.5
11:43:43,20.5
11:43:44,20.5
11:43:45,20.5
11:43:47,20.5
11:43:48,20.5
11:43:49,20.5
11:43:51,20.5
11:43:52,20.5
11:43:53,20.5
11:43:54,20.5
11:43:56,20.5
11:43:57,20.5
11:43:58,20.5
11:43:59,20.5
11:44:01,20.5
11:44:02,20.5
11:44:03,20.5
11:44:04,20.5
11:44:06,20.5
11:44:07,20.5
11:44:08,20.5
11:44:10,20.5
11:44:11,20.5
11:44:12,20.5
11:44:13,20.5
11:44:15,20.5
11:44:16,20.5
11:44:17,20.5
11:44:19,20.5
11:44:20,20.5
11:44:21,20.5
11:44:22,20.5
11:44:24,20.5
11:44:25,20.5
11:44:26,20.5
11:44:27,20.5
11:44:29,20.5
11:44:30,20.5
11:44:31,20.5
11:44:32,20.5
11:44:34,20.5
11:44:35,20.5
11:44:36,20.4
11:44:37,20.5
11:44:39,20.5
11:44:40,20.5
11:44:41,20.5
11:44:43,20.5
11:44:44,20.5
11:44:45,20.5
11:44:46,20.5
11:44:47,20.5
11:44:49,20.5
11:44:50,20.5
11:44:51,20.5
11:44:52,20.5
11:44:54,20.5
11:44:55,20.5
11:44:56,20.5
11:44:57,20.5
11:44:59,20.5
11:45:00,20.5
11:45:01,20.5
11:45:02,20.5
11:45:04,20.5
11:45:05,20.5
11:45:06,20.5
11:45:08,20.5
11:45:09,20.5
11:45:10,20.5
11:45:11,20.5
11:45:12,20.5
11:45:14,20.5
11:45:15,20.5
11:45:16,20.5
11:45:17,20.5
11:45:19,20.5
11:45:20,20.4
11:45:21,20.5
11:45:22,20.5
11:45:23,20.5
11:45:25,20.5
11:45:26,20.5
11:45:27,20.5
11:45:28,20.5
11:45:30,20.5
11:45:31,20.5
11:45:32,20.5
11:45:33,20.5
11:45:35,20.5
11:45:37,20.5
11:45:39,20.5
11:45:40,20.5
11:45:41,20.5
11:45:42,20.5
11:45:43,20.5
11:45:45,20.5
11:45:46,20.5
11:45:47,20.5
11:45:49,20.5
11:45:50,20.5
11:45:51,20.5
11:45:52,20.5
11:45:54,20.5
11:45:55,20.5
11:45:56,20.5
11:45:57,20.4
11:45:59,20.5
11:46:00,20.5
11:46:01,20.5
11:46:02,20.5
11:46:04,20.5
11:46:05,20.5
11:46:06,20.5
11:46:07,20.5
11:46:08,20.5
11:46:10,20.5
11:46:11,20.5
11:46:12,20.5
11:46:13,20.5
11:46:15,20.5
11:46:16,20.5
11:46:17,20.5
11:46:18,20.5
11:46:20,20.5
11:46:21,20.5
11:46:22,20.5
11:46:28,20.5
11:46:31,20.5
11:46:32,20.5
11:46:33,20.5
11:46:35,20.5
11:46:36,20.5
11:46:37,20.5
11:46:38,20.5
11:46:40,20.5
11:46:41,20.5
11:46:42,20.5
11:46:43,20.5
11:46:45,20.5
11:46:46,20.5
11:46:47,20.5
11:46:48,20.5
11:46:50,20.5
11:46:51,20.5
11:46:52,20.5
11:46:53,20.5
11:46:55,20.5
11:46:56,20.5
11:46:57,20.5
11:46:59,20.5
11:47:00,20.5
11:47:01,20.5
11:47:02,20.5
11:47:04,20.5
11:47:05,20.5
11:47:06,20.5
11:47:08,20.5
11:47:09,20.5
11:47:10,20.5
11:47:11,20.5
11:47:14,20.5
11:47:15,20.5
11:47:16,20.5
11:47:17,20.5
11:47:19,20.5
11:47:20,20.5
11:47:21,20.5
11:47:22,20.5
11:47:24,20.5
11:47:25,20.5
11:47:26,20.5
11:47:27,20.5
11:47:29,20.5
11:47:30,20.5
11:47:31,20.5
11:47:33,20.5
11:47:34,20.5
11:47:35,20.5
11:47:36,20.5
11:47:38,20.5
11:47:39,20.5
11:47:40,20.5
11:47:41,20.5
11:47:43,20.5
11:47:44,20.5
11:47:45,20.5
11:47:46,20.5
11:47:48,20.5
11:47:49,20.5
11:47:50,20.5
11:47:51,20.5
11:47:53,20.5
11:47:54,20.5
11:47:55,20.5
11:47:58,20.5
11:47:59,20.5
11:48:00,20.5
11:48:01,20.5
11:48:04,20.5
11:48:05,20.5
11:48:07,20.5
11:48:08,20.5
11:48:09,20.5
11:48:10,20.5
11:48:12,20.5
11:48:13,20.5
11:48:14,20.5
11:48:15,20.5
11:48:18,20.5
11:48:19,20.5
11:48:21,20.5
11:48:22,20.5
11:48:23,20.5
11:48:24,20.5
11:48:26,20.5
11:48:27,20.5
11:48:28,20.5
11:48:29,20.5
11:48:31,20.5
11:48:32,20.5
11:48:33,20.5
11:48:37,20.5
11:48:38,20.5
11:48:41,20.5
11:48:42,20.5
11:48:43,20.5
11:48:45,20.5
11:48:46,20.5
11:48:47,20.5
11:48:48,20.5
11:48:50,20.5
11:48:51,20.5
11:48:52,20.5
11:48:53,20.5
11:48:55,20.5
11:48:56,20.5
11:48:57,20.5
11:48:58,20.5
11:49:00,20.5
11:49:01,20.5
11:49:02,20.5
11:49:04,20.5
11:49:05,20.5
11:49:06,20.5
11:49:07,20.5
11:49:09,20.5
11:49:10,20.5
11:49:11,20.5
11:49:12,20.5
11:49:14,20.5
11:49:15,20.5
11:49:16,20.5
11:49:18,20.5
11:49:19,20.5
11:49:20,20.5
11:49:21,20.5
11:49:23,20.5
11:49:24,20.5
11:49:25,20.5
11:49:27,20.5
11:49:28,20.5
11:49:29,20.5
11:49:30,20.5
11:49:31,20.5
11:49:32,20.5
11:49:34,20.5
11:49:35,20.5
