Time,Temperature (C)
11:26:12,19.6
11:26:13,19.6
11:26:15,19.6
11:26:16,19.6
11:26:17,19.6
11:26:18,19.6
11:26:19,19.6
11:26:21,19.6
11:26:22,19.6
11:26:23,19.6
11:26:24,19.6
11:26:26,19.6
11:26:27,19.6
11:26:28,19.6
11:26:29,19.6
11:26:31,19.6
11:26:32,19.6
11:26:33,19.6
11:26:35,19.6
11:26:36,19.6
11:26:37,19.6
11:26:38,19.6
11:26:39,19.6
11:26:41,19.6
11:26:42,19.6
11:26:43,19.6
11:26:45,19.6
11:26:46,19.7
11:26:47,19.6
11:26:48,19.7
11:26:49,19.7
11:26:51,19.7
11:26:52,19.7
11:26:55,19.7
11:26:56,19.7
11:26:57,19.7
11:26:58,19.7
11:27:00,19.7
11:27:01,19.7
11:27:02,19.7
11:27:03,19.7
11:27:05,19.7
11:27:06,19.7
11:27:07,19.7
11:27:08,19.7
11:27:10,19.7
11:27:11,19.7
11:27:12,19.7
11:27:13,19.7
11:27:15,19.7
11:27:16,19.7
11:27:17,19.7
11:27:18,19.7
11:27:19,19.7
11:27:21,19.7
11:27:22,19.7
11:27:23,19.7
11:27:24,19.7
11:27:26,19.7
11:27:27,19.7
11:27:28,19.7
11:27:29,19.7
11:27:31,19.7
11:27:32,19.7
11:27:33,19.7
11:27:34,19.7
11:27:36,19.7
11:27:37,19.7
11:27:38,19.7
11:27:39,19.7
11:27:40,19.7
11:27:42,19.7
11:27:43,19.7
11:27:44,19.7
11:27:45,19.7
11:27:47,19.7
11:27:48,19.7
11:27:49,19.7
11:27:50,19.7
11:27:52,19.7
11:27:53,19.7
11:27:54,19.7
11:27:56,19.7
11:27:57,19.7
11:27:58,19.7
11:27:59,19.7
11:28:00,19.7
11:28:02,19.8
11:28:03,19.7
11:28:04,19.7
11:28:05,19.7
11:28:07,19.8
11:28:08,19.8
11:28:09,19.8
11:28:10,19.8
11:28:11,19.8
11:28:13,19.8
11:28:14,19.8
11:28:15,19.8
11:28:16,19.8
11:28:18,19.8
11:28:19,19.8
11:28:20,19.8
11:28:21,19.8
11:28:23,19.8
11:28:24,19.8
11:28:25,19.8
11:28:26,19.8
11:28:28,19.8
11:28:29,19.8
11:28:30,19.8
11:28:32,19.8
11:28:33,19.8
11:28:34,19.8
11:28:35,19.8
11:28:37,19.8
11:28:38,19.8
11:28:39,19.8
11:28:41,19.8
11:28:42,19.8
11:28:43,19.8
11:28:44,19.8
11:28:46,19.8
11:28:47,19.8
11:28:48,19.8
11:28:49,19.8
11:28:51,19.8
11:28:52,19.8
11:28:53,19.8
11:28:54,19.8
11:28:56,19.8
11:28:57,19.8
11:28:58,19.8
11:29:00,19.8
11:29:01,19.8
11:29:02,19.8
11:29:03,19.8
