Time,Current (mA)
11:20:15.586000,0.00
11:20:16.799000,0.00
11:20:17.809000,0.00
11:20:20.030000,0.00
11:20:21.847000,0.00
11:20:22.659000,0.00
11:20:23.467000,0.00
11:20:25.686000,0.00
11:20:27.100000,0.00
11:20:28.922000,0.00
11:20:29.725000,0.00
11:20:31.746000,0.00
11:20:32.151000,0.00
11:20:33.162000,0.00
11:20:33.566000,0.00
11:20:34.373000,0.00
11:20:37.612000,0.00
11:20:38.218000,0.00
11:20:38.827000,0.00
11:20:39.023000,0.00
11:20:39.222000,0.00
11:20:40.236000,0.00
11:20:44.073000,0.00
11:20:46.493000,0.00
11:20:47.106000,0.00
11:20:48.922000,0.00
11:20:49.333000,0.00
11:20:49.532000,0.00
11:20:52.773000,0.00
11:20:52.972000,0.00
11:20:53.379000,0.00
11:20:58.839000,0.00
11:21:01.268000,0.00
11:21:01.872000,0.00
11:21:02.272000,0.00
11:21:02.877000,0.00
11:21:05.106000,0.00
11:21:05.507000,0.00
11:21:10.155000,0.00
11:21:10.759000,0.00
11:21:12.790000,0.00
11:21:15.407000,0.00
11:21:16.015000,0.00
11:21:18.243000,0.00
11:21:19.456000,0.00
11:21:19.859000,0.00
11:21:21.887000,0.00
11:21:23.097000,0.00
11:21:23.495000,0.00
11:21:23.704000,0.00
11:21:26.124000,0.00
11:21:26.941000,0.00
11:21:29.357000,0.00
11:21:29.558000,0.00
11:21:29.964000,0.00
11:21:30.164000,0.00
11:21:31.176000,0.00
11:21:33.597000,0.00
11:21:33.801000,0.00
11:21:34.002000,0.00
11:21:34.607000,0.00
11:21:35.215000,0.00
11:21:36.226000,0.00
11:21:36.427000,0.00
11:21:36.631000,0.00
11:21:40.671000,0.00
11:21:41.883000,0.00
11:21:45.720000,0.00
11:21:47.133000,0.00
11:21:52.586000,0.00
11:21:53.196000,0.00
11:21:53.796000,0.00
11:21:55.621000,0.00
11:21:56.632000,0.00
11:21:56.832000,0.00
11:21:57.643000,0.00
11:22:00.679000,0.00
11:22:00.879000,0.00
11:22:01.285000,0.00
11:22:05.729000,0.00
11:22:08.156000,0.00
11:22:09.565000,0.00
11:22:09.775000,0.00
11:22:12.601000,0.00
11:22:13.007000,0.00
11:22:13.413000,0.00
11:22:13.613000,0.00
11:22:17.255000,0.00
11:22:17.855000,0.00
11:22:19.685000,0.00
11:22:20.485000,0.00
11:22:22.913000,0.00
11:22:23.123000,0.00
11:22:25.951000,0.00
11:22:27.368000,0.00
11:22:28.177000,0.00
11:22:28.785000,0.00
11:22:29.784000,0.00
11:22:30.803000,0.00
11:22:31.004000,0.00
11:22:33.230000,0.00
11:22:33.434000,0.00
11:22:33.634000,0.00
11:22:33.834000,0.00
11:22:36.256000,0.00
11:22:36.464000,0.00
11:22:38.489000,0.00
11:22:40.710000,0.00
11:22:41.720000,0.00
11:22:45.770000,0.00
11:22:52.033000,0.00
11:22:56.884000,0.00
11:23:02.956000,0.00
11:23:06.185000,0.00
11:23:07.601000,0.00
11:23:09.216000,0.00
11:23:10.832000,0.00
11:23:11.849000,0.00
11:23:12.252000,0.00
11:23:12.450000,0.00
11:23:15.076000,0.00
11:23:16.494000,0.00
11:23:17.909000,0.00
11:23:18.918000,0.00
11:23:21.143000,0.00
11:23:28.017000,0.00
11:23:31.248000,0.00
11:23:31.449000,0.00
11:23:33.265000,0.00
11:23:33.675000,0.00
11:23:34.487000,0.00
11:23:35.498000,0.00
11:23:37.515000,0.00
11:23:37.727000,0.00
11:23:39.943000,0.00
11:23:40.958000,0.00
11:23:43.181000,0.00
11:23:48.433000,0.00
11:23:50.448000,0.00
11:23:52.066000,0.00
11:23:52.274000,0.00
11:23:52.672000,0.00
11:23:55.499000,0.00
11:23:56.914000,0.00
11:23:58.943000,0.00
11:23:59.142000,0.00
11:23:59.548000,0.00
11:23:59.750000,0.00
11:24:00.957000,0.00
11:24:01.364000,0.00
11:24:01.766000,0.00
11:24:02.375000,0.00
11:24:06.828000,0.00
11:24:08.031000,0.00
11:24:09.252000,0.00
11:24:10.867000,0.00
11:24:11.264000,0.00
11:24:13.900000,0.00
11:24:17.947000,0.00
11:24:18.148000,0.00
11:24:18.349000,0.00
11:24:19.557000,0.00
11:24:22.185000,0.00
11:24:23.002000,0.00
11:24:23.806000,0.00
11:24:24.002000,0.00
11:24:24.819000,0.00
11:24:25.828000,0.00
11:24:27.647000,0.00
11:24:28.052000,0.00
11:24:28.457000,0.00
11:24:30.480000,0.00
11:24:30.885000,0.00
11:24:33.713000,0.00
11:24:35.332000,0.00
11:24:35.939000,0.00
11:24:36.740000,0.00
11:24:37.558000,0.00
11:24:38.164000,0.00
11:24:41.397000,0.00
11:24:43.213000,0.00
11:24:45.235000,0.00
11:24:45.645000,0.00
11:24:51.305000,0.00
11:24:51.499000,0.00
11:24:52.103000,0.00
11:24:52.913000,0.00
11:24:53.122000,0.00
11:24:56.756000,0.00
11:25:00.599000,0.00
11:25:03.833000,0.00
11:25:04.438000,0.00
11:25:09.495000,0.00
11:25:09.904000,0.00
11:25:14.758000,0.00
11:25:16.981000,0.00
11:25:18.191000,0.00
11:25:24.461000,0.00
11:25:24.866000,0.00
11:25:25.277000,0.00
11:25:25.673000,0.00
11:25:27.700000,0.00
11:25:29.720000,0.00
11:25:33.553000,0.00
11:25:35.176000,0.00
11:25:36.786000,0.00
11:25:40.230000,0.00
11:25:41.036000,0.00
11:25:41.238000,0.00
11:25:42.655000,0.00
11:25:44.060000,0.00
11:25:45.886000,0.00
11:25:46.693000,0.00
11:25:50.527000,0.00
11:25:50.736000,0.00
11:25:57.809000,0.00
11:25:58.410000,0.00
11:25:59.827000,0.00
11:26:15.194000,0.00
11:26:16.209000,0.00
11:26:17.411000,0.00
11:26:17.827000,0.00
11:26:19.448000,0.00
11:26:22.072000,0.00
11:26:23.692000,0.00
11:26:24.492000,0.00
11:26:25.910000,0.00
11:26:28.137000,0.00
11:26:31.367000,0.00
11:26:34.201000,0.00
11:26:34.608000,0.00
11:26:37.232000,0.00
11:26:38.251000,0.00
11:26:39.055000,0.00
11:26:39.463000,0.00
11:26:40.874000,0.00
11:26:44.107000,0.00
11:26:46.331000,0.00
11:26:46.740000,0.00
11:26:49.168000,0.00
11:26:50.375000,0.00
11:26:50.986000,0.00
11:26:51.378000,0.00
11:26:54.007000,0.00
11:26:55.423000,0.00
11:26:57.642000,0.00
11:27:00.073000,0.00
11:27:01.691000,0.00
11:27:01.890000,0.00
11:27:04.116000,0.00
11:27:05.523000,0.00
11:27:11.390000,0.00
11:27:13.216000,0.00
11:27:15.038000,0.00
11:27:17.057000,0.00
11:27:18.065000,0.00
11:27:20.899000,0.00
11:27:24.736000,0.00
11:27:26.148000,0.00
11:27:28.172000,0.00
11:27:30.191000,0.00
11:27:30.999000,0.00
11:27:32.009000,0.00
11:27:33.022000,0.00
11:27:34.223000,0.00
11:27:34.634000,0.00
11:27:35.242000,0.00
11:27:39.089000,0.00
11:27:40.702000,0.00
11:27:41.507000,0.00
11:27:41.716000,0.00
11:27:45.145000,0.00
11:27:45.354000,0.00
11:27:46.964000,0.00
11:27:51.014000,0.00
11:27:54.855000,0.00
11:27:55.464000,0.00
11:27:55.866000,0.00
11:27:56.475000,0.00
11:27:56.672000,0.00
11:27:58.498000,0.00
11:28:00.314000,0.00
11:28:00.923000,0.00
11:28:02.137000,0.00
11:28:04.759000,0.00
11:28:05.366000,0.00
11:28:06.571000,0.00
11:28:07.186000,0.00
11:28:07.391000,0.00
11:28:10.215000,0.00
11:28:10.421000,0.00
11:28:11.429000,0.00
11:28:16.480000,0.00
11:28:16.886000,0.00
11:28:17.287000,0.00
11:28:18.090000,0.00
11:28:18.903000,0.00
11:28:20.322000,0.00
11:28:21.534000,0.00
11:28:22.339000,0.00
11:28:22.748000,0.00
11:28:23.555000,0.00
11:28:24.163000,0.00
11:28:25.981000,0.00
11:28:28.004000,0.00
11:28:29.212000,0.00
11:28:30.029000,0.00
11:28:30.635000,0.00
11:28:32.654000,0.00
11:28:34.066000,0.00
11:28:35.280000,0.00
11:28:36.895000,0.00
11:28:37.296000,0.00
11:28:37.504000,0.00
11:28:37.704000,0.00
11:28:39.118000,0.00
11:28:39.929000,0.00
11:28:42.558000,0.00
11:28:43.365000,0.00
11:28:47.603000,0.00
11:28:53.070000,0.00
11:28:54.489000,0.00
11:28:55.294000,0.00
11:28:57.921000,0.00
11:28:58.128000,0.00
11:28:59.945000,0.00
11:29:01.161000,0.00
11:29:02.569000,0.00
11:29:03.378000,0.00
11:29:06.621000,0.00
11:29:07.834000,0.00
11:29:10.458000,0.00
11:29:11.266000,0.00
11:29:12.883000,0.00
11:29:13.085000,0.00
11:29:17.731000,0.00
11:29:17.934000,0.00
11:29:19.144000,0.00
11:29:24,0.00
11:29:24.204000,0.00
11:29:25.823000,0.00
11:29:26.226000,0.00
11:29:27.439000,0.00
11:29:28.047000,0.00
11:29:30.070000,0.00
11:29:30.267000,0.00
11:29:31.076000,0.00
11:29:32.084000,0.00
11:29:32.895000,0.00
11:29:34.717000,0.00
11:29:35.926000,0.00
11:29:37.347000,0.00
11:29:40.984000,0.00
11:29:43.009000,0.00
11:29:43.207000,0.00
11:29:45.836000,0.00
11:29:47.250000,0.00
11:29:48.267000,0.00
11:29:51.500000,0.00
11:29:51.702000,0.00
11:29:52.300000,0.00
11:29:52.509000,0.00
11:29:53.117000,0.00
11:29:57.966000,0.00
11:29:58.977000,0.00
11:30:00.190000,0.00
11:30:00.798000,0.00
11:30:02.215000,0.00
11:30:04.842000,0.00
11:30:05.045000,0.00
11:30:05.249000,0.00
11:30:07.875000,0.00
11:30:08.277000,0.00
11:30:11.107000,0.00
11:30:12.115000,0.00
11:30:14.948000,0.00
11:30:20.814000,0.00
11:30:21.415000,0.00
11:30:25.465000,0.00
11:30:29.308000,0.00
11:30:31.324000,0.00
11:30:31.736000,0.00
11:30:33.147000,0.00
11:30:36.790000,0.00
11:30:39.813000,0.00
11:30:41.231000,0.00
11:30:41.440000,0.00
11:30:42.047000,0.00
11:30:42.848000,0.00
11:30:43.259000,0.00
11:30:44.873000,0.00
11:30:50.541000,0.00
11:30:51.754000,0.00
11:30:57.206000,0.00
11:30:58.214000,0.00
11:31:00.443000,0.00
11:31:00.642000,0.00
11:31:07.512000,0.00
11:31:08.115000,0.00
11:31:09.940000,0.00
11:31:11.762000,0.00
11:31:13.380000,0.00
11:31:14.396000,0.00
11:31:16.005000,0.00
11:31:16.612000,0.00
11:31:19.847000,0.00
11:31:21.675000,0.00
11:31:25.108000,0.00
11:31:27.929000,0.00
11:31:28.129000,0.00
11:31:28.542000,0.00
11:31:29.145000,0.00
11:31:31.378000,0.00
11:31:32.790000,0.00
11:31:35.014000,0.00
11:31:35.215000,0.00
11:31:40.872000,0.00
11:31:41.073000,0.00
11:31:43.498000,0.00
11:31:43.899000,0.00
11:31:46.531000,0.00
11:31:46.738000,0.00
11:31:49.163000,0.00
11:31:52.594000,0.00
11:31:53.195000,0.00
11:31:55.023000,0.00
11:31:55.627000,0.00
11:32:00.887000,0.00
11:32:05.337000,0.00
11:32:06.347000,0.00
11:32:08.973000,0.00
11:32:09.789000,0.00
11:32:13.025000,0.00
11:32:13.220000,0.00
11:32:17.064000,0.00
11:32:22.321000,0.00
11:32:24.543000,0.00
11:32:26.970000,0.00
11:32:27.776000,0.00
11:32:29.795000,0.00
11:32:31.210000,0.00
11:32:31.815000,0.00
11:32:35.052000,0.00
11:32:36.059000,0.00
11:32:37.059000,0.00
11:32:37.670000,0.00
11:32:37.876000,0.00
11:32:39.896000,0.00
11:32:40.705000,0.00
11:32:42.929000,0.00
11:32:44.143000,0.00
11:32:46.372000,0.00
11:32:46.775000,0.00
11:32:48.392000,0.00
11:32:48.592000,0.00
11:32:49.193000,0.00
11:32:50.211000,0.00
11:32:53.041000,0.00
11:32:55.470000,0.00
11:32:57.075000,0.00
11:32:57.895000,0.00
11:33:00.108000,0.00
11:33:00.320000,0.00
11:33:02.536000,0.00
11:33:02.743000,0.00
11:33:04.159000,0.00
11:33:04.358000,0.00
11:33:07.393000,0.00
11:33:09.408000,0.00
11:33:10.425000,0.00
11:33:11.025000,0.00
11:33:12.441000,0.00
11:33:13.252000,0.00
11:33:14.463000,0.00
11:33:18.100000,0.00
11:33:19.717000,0.00
11:33:20.724000,0.00
11:33:21.128000,0.00
11:33:21.936000,0.00
11:33:24.571000,0.00
11:33:26.991000,0.00
11:33:27.803000,0.00
11:33:30.223000,0.00
11:33:31.039000,0.00
11:33:33.057000,0.00
11:33:33.873000,0.00
11:33:34.266000,0.00
11:33:40.140000,0.00
11:33:40.944000,0.00
11:33:41.758000,0.00
11:33:46.606000,0.00
11:33:49.434000,0.00
11:33:51.056000,0.00
11:33:52.468000,0.00
11:33:53.283000,0.00
11:33:53.678000,0.00
11:33:54.893000,0.00
11:33:56.515000,0.00
11:33:56.711000,0.00
11:33:57.928000,0.00
11:34:05.416000,0.00
11:34:06.222000,0.00
11:34:06.414000,0.00
11:34:07.423000,0.00
11:34:10.265000,0.00
11:34:10.665000,0.00
11:34:12.690000,0.00
11:34:16.531000,0.00
11:34:18.957000,0.00
11:34:19.965000,0.00
11:34:21.181000,0.00
11:34:23.004000,0.00
11:34:25.017000,0.00
11:34:26.642000,0.00
11:34:30.077000,0.00
11:34:30.888000,0.00
11:34:33.923000,0.00
11:34:36.351000,0.00
11:34:36.958000,0.00
11:34:40.997000,0.00
11:34:41.603000,0.00
11:34:41.804000,0.00
11:34:45.449000,0.00
11:34:50.504000,0.00
11:34:51.309000,0.00
11:34:52.523000,0.00
11:34:55.156000,0.00
11:34:57.980000,0.00
11:34:59.403000,0.00
11:35:00.204000,0.00
11:35:00.402000,0.00
11:35:02.435000,0.00
11:35:04.453000,0.00
11:35:05.057000,0.00
11:35:06.270000,0.00
11:35:07.286000,0.00
11:35:07.690000,0.00
11:35:08.899000,0.00
11:35:09.107000,0.00
11:35:09.508000,0.00
11:35:12.338000,0.00
11:35:13.548000,0.00
11:35:15.156000,0.00
11:35:16.379000,0.00
11:35:18.602000,0.00
11:35:19.210000,0.00
11:35:19.817000,0.00
11:35:20.624000,0.00
11:35:21.034000,0.00
11:35:21.437000,0.00
11:35:24.064000,0.00
11:35:24.265000,0.00
11:35:24.872000,0.00
11:35:26.285000,0.00
11:35:28.312000,0.00
11:35:29.324000,0.00
11:35:31.745000,0.00
11:35:34.170000,0.00
11:35:34.778000,0.00
11:35:39.634000,0.00
11:35:40.447000,0.00
11:35:41.255000,0.00
11:35:45.084000,0.00
11:35:45.497000,0.00
11:35:47.522000,0.00
11:35:48.530000,0.00
11:35:49.137000,0.00
11:35:49.340000,0.00
11:35:51.364000,0.00
11:35:52.367000,0.00
11:35:53.178000,0.00
11:35:54.794000,0.00
11:35:55.811000,0.00
11:35:58.634000,0.00
11:35:59.043000,0.00
11:35:59.244000,0.00
11:35:59.850000,0.00
11:36:00.450000,0.00
11:36:00.861000,0.00
11:36:01.469000,0.00
11:36:03.693000,0.00
11:36:05.109000,0.00
11:36:09.357000,0.00
11:36:10.366000,0.00
11:36:10.567000,0.00
11:36:12.993000,0.00
11:36:13.200000,0.00
11:36:13.804000,0.00
11:36:14.215000,0.00
11:36:15.626000,0.00
11:36:17.845000,0.00
11:36:18.859000,0.00
11:36:19.058000,0.00
11:36:22.495000,0.00
11:36:24.316000,0.00
11:36:25.318000,0.00
11:36:25.928000,0.00
11:36:26.938000,0.00
11:36:29.966000,0.00
11:36:31.792000,0.00
11:36:33.204000,0.00
11:36:38.666000,0.00
11:36:40.887000,0.00
11:36:41.492000,0.00
11:36:43.110000,0.00
11:36:45.735000,0.00
11:36:47.966000,0.00
11:36:48.976000,0.00
11:36:52.817000,0.00
11:36:53.019000,0.00
11:36:53.625000,0.00
11:36:53.834000,0.00
11:36:54.035000,0.00
11:36:54.634000,0.00
11:36:55.047000,0.00
11:36:55.853000,0.00
11:36:57.267000,0.00
11:36:58.278000,0.00
11:36:59.891000,0.00
11:37:01.104000,0.00
11:37:03.325000,0.00
11:37:05.753000,0.00
11:37:06.765000,0.00
11:37:07.772000,0.00
11:37:10.201000,0.00
11:37:10.606000,0.00
11:37:13.032000,0.00
11:37:15.657000,0.00
11:37:18.283000,0.00
11:37:19.089000,0.00
11:37:23.940000,0.00
11:37:24.348000,0.00
11:37:26.167000,0.00
11:37:28.194000,0.00
11:37:29.002000,0.00
11:37:33.031000,0.00
11:37:37.486000,0.00
11:37:38.294000,0.00
11:37:39.106000,0.00
11:37:41.330000,0.00
11:37:41.935000,0.00
11:37:45.373000,0.00
11:37:47.790000,0.00
11:37:52.650000,0.00
11:37:55.681000,0.00
11:37:56.497000,0.00
11:37:58.311000,0.00
11:37:59.123000,0.00
11:38:01.342000,0.00
11:38:03.370000,0.00
11:38:07.207000,0.00
11:38:09.026000,0.00
11:38:09.436000,0.00
11:38:09.637000,0.00
11:38:11.252000,0.00
11:38:15.092000,0.00
11:38:15.897000,0.00
11:38:17.112000,0.00
11:38:18.128000,0.00
11:38:19.944000,0.00
11:38:21.359000,0.00
11:38:24.192000,0.00
11:38:25.604000,0.00
11:38:30.660000,0.00
11:38:30.861000,0.00
11:38:31.061000,0.00
11:38:31.670000,0.00
11:38:32.077000,0.00
11:38:32.882000,0.00
11:38:36.727000,0.00
11:38:39.348000,0.00
11:38:42.994000,0.00
11:38:45.017000,0.00
11:38:48.851000,0.00
11:38:49.662000,0.00
11:38:53.304000,0.00
11:38:54.918000,0.00
11:38:57.349000,0.00
11:39:00.376000,0.00
11:39:02.595000,0.00
11:39:04.419000,0.00
11:39:07.053000,0.00
11:39:07.847000,0.00
11:39:11.902000,0.00
11:39:19.582000,0.00
11:39:23.026000,0.00
11:39:24.436000,0.00
11:39:25.246000,0.00
11:39:25.648000,0.00
11:39:28.876000,0.00
11:39:29.490000,0.00
11:39:30.304000,0.00
11:39:32.123000,0.00
11:39:36.157000,0.00
11:39:37.981000,0.00
11:39:40.008000,0.00
11:39:41.618000,0.00
11:39:42.432000,0.00
11:39:42.634000,0.00
11:39:45.257000,0.00
11:39:45.864000,0.00
11:39:46.877000,0.00
11:39:47.078000,0.00
11:39:56.174000,0.00
11:39:57.383000,0.00
11:39:57.587000,0.00
11:39:59.410000,0.00
11:40:04.666000,0.00
11:40:05.073000,0.00
11:40:05.473000,0.00
11:40:06.287000,0.00
11:40:06.685000,0.00
11:40:09.318000,0.00
11:40:12.742000,0.00
11:40:16.391000,0.00
11:40:17.404000,0.00
11:40:18.413000,0.00
11:40:20.439000,0.00
11:40:30.343000,0.00
11:40:31.760000,0.00
11:40:32.365000,0.00
11:40:32.567000,0.00
11:40:33.779000,0.00
11:40:34.992000,0.00
11:40:36.613000,0.00
11:40:36.813000,0.00
11:40:39.239000,0.00
11:40:40.655000,0.00
11:40:41.264000,0.00
11:40:43.484000,0.00
11:40:44.498000,0.00
11:40:46.922000,0.00
11:40:47.324000,0.00
11:40:49.953000,0.00
11:40:52.992000,0.00
11:40:53.386000,0.00
11:40:53.595000,0.00
11:40:54.601000,0.00
11:40:55.814000,0.00
11:40:58.446000,0.00
11:41:00.669000,0.00
11:41:02.487000,0.00
11:41:03.092000,0.00
11:41:03.498000,0.00
11:41:05.726000,0.00
11:41:06.939000,0.00
11:41:08.551000,0.00
11:41:09.765000,0.00
11:41:10.170000,0.00
11:41:11.186000,0.00
11:41:14.609000,0.00
11:41:15.222000,0.00
11:41:15.626000,0.00
11:41:17.854000,0.00
11:41:21.688000,0.00
11:41:22.091000,0.00
11:41:22.299000,0.00
11:41:23.306000,0.00
11:41:26.747000,0.00
11:41:27.959000,0.00
11:41:28.160000,0.00
11:41:28.565000,0.00
11:41:29.577000,0.00
11:41:30.183000,0.00
11:41:31.400000,0.00
11:41:31.797000,0.00
11:41:32.202000,0.00
11:41:38.072000,0.00
11:41:38.469000,0.00
11:41:38.674000,0.00
11:41:40.693000,0.00
11:41:40.886000,0.00
11:41:41.896000,0.00
11:41:43.119000,0.00
11:41:44.733000,0.00
11:41:45.350000,0.00
11:41:46.554000,0.00
11:41:48.582000,0.00
11:41:55.045000,0.00
11:41:55.252000,0.00
11:41:56.867000,0.00
11:42:01.319000,0.00
11:42:01.726000,0.00
11:42:02.729000,0.00
11:42:04.351000,0.00
11:42:06.170000,0.00
11:42:07.384000,0.00
11:42:09.806000,0.00
11:42:13.858000,0.00
11:42:14.057000,0.00
11:42:14.664000,0.00
11:42:17.293000,0.00
11:42:20.930000,0.00
11:42:21.136000,0.00
11:42:25.782000,0.00
11:42:30.629000,0.00
11:42:31.446000,0.00
11:42:31.646000,0.00
11:42:32.451000,0.00
11:42:32.846000,0.00
11:42:33.664000,0.00
11:42:35.889000,0.00
11:42:37.902000,0.00
11:42:38.114000,0.00
11:42:39.727000,0.00
11:42:41.345000,0.00
11:42:43.168000,0.00
11:42:49.840000,0.00
11:42:50.642000,0.00
11:42:55.300000,0.00
11:42:56.106000,0.00
11:42:56.712000,0.00
11:42:57.722000,0.00
11:43:02.375000,0.00
11:43:03.590000,0.00
11:43:06.213000,0.00
11:43:07.427000,0.00
11:43:08.037000,0.00
11:43:08.234000,0.00
11:43:08.840000,0.00
11:43:09.049000,0.00
11:43:11.466000,0.00
11:43:14.501000,0.00
11:43:14.906000,0.00
11:43:16.518000,0.00
11:43:21.784000,0.00
11:43:23.196000,0.00
11:43:26.232000,0.00
11:43:29.061000,0.00
11:43:31.079000,0.00
11:43:31.286000,0.00
11:43:33.101000,0.00
11:43:34.321000,0.00
11:43:34.514000,0.00
11:43:37.147000,0.00
11:43:38.564000,0.00
11:43:39.371000,0.00
11:43:40.383000,0.00
11:43:43.012000,0.00
11:43:44.831000,0.00
11:43:45.638000,0.00
11:43:47.657000,0.00
11:43:50.487000,0.00
11:43:58.573000,0.00
11:44:03.216000,0.00
11:44:05.449000,0.00
11:44:05.651000,0.00
11:44:06.261000,0.00
11:44:07.474000,0.00
11:44:08.280000,0.00
11:44:08.484000,0.00
11:44:09.488000,0.00
11:44:10.913000,0.00
11:44:15.760000,0.00
11:44:15.968000,0.00
11:44:16.169000,0.00
11:44:17.180000,0.00
11:44:19.806000,0.00
11:44:22.437000,0.00
11:44:27.291000,0.00
11:44:27.899000,0.00
11:44:32.144000,0.00
11:44:34.166000,0.00
11:44:35.988000,0.00
11:44:36.183000,0.00
11:44:38.203000,0.00
11:44:39.019000,0.00
