Time,PMON 1,PMON_2,PMON_3,PMON_4,PMON_5,PMON_6
17:59:44,None,None,None,None,None,None
17:59:47,None,None,None,None,None,None
17:59:47,None,None,None,None,None,None
17:59:48,None,None,None,None,None,None
17:59:48,None,None,None,None,None,None
17:59:49,24.69,None,None,None,None,None
17:59:49,24.69,None,None,None,None,None
17:59:50,24.69,None,None,None,None,None
17:59:50,24.69,None,None,None,None,None
17:59:51,24.69,None,None,None,None,None
17:59:52,24.68,None,None,None,None,None
17:59:52,24.68,None,None,None,None,None
17:59:53,24.68,None,None,None,None,None
17:59:53,24.68,None,None,None,None,None
17:59:54,24.69,None,None,None,None,None
17:59:54,24.69,None,None,None,None,None
17:59:55,24.68,None,None,None,None,None
17:59:56,24.68,None,None,None,None,None
17:59:56,24.68,None,None,None,None,None
17:59:57,24.68,None,None,None,None,None
17:59:57,24.69,None,None,None,None,None
17:59:58,24.69,None,None,None,None,None
17:59:58,24.69,None,None,None,None,None
17:59:59,24.68,None,None,None,None,None
18:00:00,24.68,None,None,None,None,None
18:00:00,24.68,None,None,None,None,None
18:00:01,24.68,None,None,None,None,None
18:00:01,24.68,None,None,None,None,None
18:00:02,24.69,None,None,None,None,None
18:00:02,24.69,SENSOR_ERROR,22.80,None,None,None
18:00:03,24.69,SENSOR_ERROR,22.80,21.55,None,None
18:00:04,24.69,SENSOR_ERROR,22.80,21.55,22.88,None
18:00:04,24.69,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:05,24.69,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:05,24.68,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:06,24.68,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:06,24.68,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:07,24.69,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:08,24.69,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:08,24.69,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:09,24.68,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:09,24.68,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:10,24.68,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:10,24.69,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:11,24.69,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:11,24.69,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:12,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:13,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:13,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:14,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:14,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:15,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:15,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:16,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:17,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:17,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:18,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:18,24.67,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:19,24.68,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:20,24.68,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:20,24.68,SENSOR_ERROR,22.80,21.55,22.88,21.38
18:00:21,24.68,SENSOR_ERROR,22.80,21.55,22.88,21.38
