Time,Pressure (mbar)
17:59:47,3.24E-7
17:59:47,3.25E-7
17:59:48,3.24E-7
17:59:48,3.25E-7
17:59:49,3.25E-7
17:59:49,3.24E-7
17:59:50,3.25E-7
17:59:50,3.25E-7
17:59:51,3.25E-7
17:59:52,3.25E-7
17:59:52,3.23E-7
17:59:53,3.24E-7
17:59:53,3.24E-7
17:59:54,3.24E-7
17:59:54,3.24E-7
17:59:55,3.25E-7
17:59:56,3.24E-7
17:59:56,3.24E-7
17:59:57,3.25E-7
17:59:57,3.24E-7
17:59:58,3.24E-7
17:59:58,3.24E-7
17:59:59,3.25E-7
18:00:00,3.25E-7
18:00:00,3.26E-7
18:00:01,3.24E-7
18:00:01,3.24E-7
18:00:02,3.24E-7
18:00:02,3.26E-7
18:00:03,3.25E-7
18:00:04,3.25E-7
18:00:04,3.24E-7
18:00:05,3.24E-7
18:00:05,3.24E-7
18:00:06,3.25E-7
18:00:06,3.25E-7
18:00:07,3.25E-7
18:00:08,3.25E-7
18:00:08,3.24E-7
18:00:09,3.24E-7
18:00:09,3.24E-7
18:00:10,3.24E-7
18:00:10,3.24E-7
18:00:11,3.25E-7
18:00:12,3.24E-7
18:00:12,3.24E-7
18:00:13,3.24E-7
18:00:13,3.24E-7
18:00:14,3.24E-7
18:00:14,3.24E-7
18:00:15,3.24E-7
18:00:15,3.23E-7
18:00:16,3.24E-7
18:00:17,3.24E-7
18:00:17,3.23E-7
18:00:18,3.25E-7
18:00:18,3.25E-7
18:00:19,3.25E-7
18:00:20,3.24E-7
18:00:20,3.23E-7
18:00:21,3.24E-7
