Time,Current (mA)
14:19:34.722000,0.00
14:19:34.722000,0.00
14:19:34.722000,0.00
14:19:34.722000,0.00
14:19:34.722000,0.00
14:19:34.722000,0.00
14:19:37.921000,0.00
14:19:38.120000,0.00
14:19:38.327000,0.00
14:19:38.527000,0.00
14:19:38.938000,0.00
14:19:39.543000,0.00
14:19:39.744000,0.00
14:19:39.945000,0.01
14:19:40.150000,0.00
14:19:40.547000,0.00
14:19:41.153000,0.00
14:19:41.358000,0.00
14:19:41.559000,0.01
14:19:41.760000,0.00
14:19:41.968000,0.00
14:19:42.165000,0.00
14:19:42.366000,0.00
14:19:42.775000,0.00
14:19:43.177000,0.01
14:19:43.578000,0.00
14:19:43.781000,0.00
14:19:44.791000,0.00
14:19:45.196000,0.00
14:19:45.396000,0.00
14:19:45.606000,0.00
14:19:45.802000,0.00
14:19:46.408000,0.00
14:19:46.808000,0.00
14:19:47.208000,0.00
14:19:47.618000,0.00
14:19:47.821000,0.00
14:19:48.025000,0.00
14:19:48.427000,0.00
14:19:48.632000,0.00
14:19:48.833000,0.00
14:19:49.025000,0.00
14:19:49.237000,0.00
14:19:49.439000,0.00
14:19:49.842000,0.00
14:19:50.450000,0.00
14:19:50.651000,0.00
14:19:51.661000,0.00
14:19:51.858000,0.00
14:19:52.462000,0.00
14:19:54.288000,0.00
14:19:54.488000,0.00
14:19:54.691000,0.01
14:19:55.095000,0.00
14:19:55.300000,0.00
14:19:55.501000,0.00
14:19:55.701000,0.00
14:19:55.906000,0.00
14:19:56.508000,0.01
14:19:56.713000,0.01
14:19:56.908000,0.00
14:19:57.318000,0.00
14:19:58.331000,0.00
14:19:58.525000,0.00
14:19:58.730000,0.00
14:19:58.936000,0.00
14:19:59.544000,0.00
14:19:59.744000,0.00
14:20:00.548000,0.00
14:20:00.957000,0.00
14:20:01.361000,0.00
14:20:01.562000,0.00
14:20:01.758000,0.00
14:20:03.177000,0.00
14:20:03.984000,0.00
14:20:04.391000,0.00
14:20:04.594000,0.00
14:20:05.196000,0.00
14:20:05.400000,0.00
14:20:05.601000,0.00
14:20:06.207000,0.00
14:20:06.611000,0.01
14:20:06.816000,0.00
14:20:07.017000,0.00
14:20:08.024000,0.00
14:20:08.230000,0.00
14:20:08.430000,0.00
14:20:08.636000,0.00
14:20:09.038000,0.00
14:20:09.849000,0.00
14:20:10.049000,0.00
14:20:10.250000,0.00
14:20:10.455000,0.00
14:20:10.856000,0.00
14:20:11.059000,0.00
14:20:11.260000,0.00
14:20:11.458000,0.00
14:20:12.068000,0.00
14:20:12.274000,0.00
14:20:12.474000,0.00
14:20:12.880000,0.00
14:20:13.080000,0.00
14:20:13.280000,0.00
14:20:13.486000,0.00
14:20:13.687000,0.00
14:20:14.694000,0.00
14:20:14.890000,0.00
14:20:15.094000,0.00
14:20:15.907000,0.00
14:20:16.111000,0.00
14:20:16.516000,0.00
14:20:16.716000,0.00
14:20:16.919000,0.00
14:20:17.124000,0.00
14:20:17.524000,0.00
14:20:17.724000,0.00
14:20:18.129000,0.00
14:20:18.334000,0.00
14:20:19.548000,0.00
14:20:19.749000,0.00
14:20:19.949000,0.00
14:20:20.556000,0.00
14:20:20.960000,0.00
14:20:21.363000,0.00
14:20:21.766000,0.00
14:20:22.172000,0.00
14:20:22.578000,0.00
14:20:22.778000,0.00
14:20:22.975000,0.00
14:20:24.589000,0.00
14:20:24.790000,0.00
14:20:26.417000,0.00
14:20:26.818000,0.00
14:20:27.021000,0.00
14:20:27.620000,0.00
14:20:28.031000,0.00
14:20:28.234000,0.00
14:20:28.628000,0.00
14:20:29.447000,0.00
14:20:29.644000,0.00
14:20:29.845000,0.00
14:20:30.052000,0.00
14:20:31.266000,0.00
14:20:31.467000,0.00
14:20:33.083000,0.00
14:20:33.480000,0.01
14:20:33.691000,0.00
14:20:34.079000,0.00
14:20:34.294000,0.00
14:20:35.097000,0.00
14:20:35.297000,0.00
14:20:35.706000,0.00
14:20:35.899000,0.00
14:20:36.506000,0.01
14:20:37.120000,0.00
14:20:37.525000,0.00
14:20:37.931000,0.00
14:20:38.131000,0.00
14:20:38.331000,0.00
14:20:38.937000,0.00
14:20:39.749000,0.00
14:20:40.151000,0.00
14:20:41.561000,0.00
14:20:41.968000,0.00
14:20:42.173000,0.00
14:20:42.571000,0.00
14:20:42.780000,0.00
14:20:42.972000,0.00
14:20:43.171000,0.00
14:20:43.386000,0.00
14:20:43.582000,0.00
14:20:43.779000,0.00
14:20:43.990000,0.00
14:20:44.388000,0.01
14:20:44.594000,0.00
14:20:46.208000,0.00
14:20:46.416000,0.00
14:20:46.617000,0.00
14:20:47.830000,0.00
14:20:48.841000,0.00
14:20:49.643000,0.01
14:20:50.054000,0.00
14:20:50.251000,0.00
14:20:50.451000,0.00
14:20:51.259000,0.00
14:20:51.460000,0.00
14:20:51.662000,0.00
14:20:53.076000,0.00
14:20:53.282000,0.00
14:20:53.482000,0.00
14:20:54.292000,0.00
14:20:54.492000,0.00
14:20:54.899000,0.00
14:20:55.092000,0.00
14:20:55.292000,0.00
14:20:56.109000,0.00
14:20:56.312000,0.00
14:20:56.715000,0.00
14:20:56.918000,0.00
14:20:57.926000,0.00
14:20:58.128000,0.00
14:20:58.331000,0.00
14:20:58.738000,0.00
14:20:59.542000,0.00
14:20:59.749000,0.00
14:20:59.950000,0.00
