[2025-06-10 17:39:34.857] High voltage power supply Monitoring with ADS1115 Test
[2025-06-10 17:39:37.216] Set: 831 V,  HV: 545 V,  I: 2.70 mA
[2025-06-10 17:39:37.409] Set: 501 V,  HV: 375 V,  I: 2.90 mA
[2025-06-10 17:39:37.618] Set: 472 V,  HV: 353 V,  I: 2.97 mA
[2025-06-10 17:39:37.825] Set: 479 V,  HV: 348 V,  I: 2.93 mA
[2025-06-10 17:39:38.019] Set: 455 V,  HV: 355 V,  I: 3.01 mA
[2025-06-10 17:39:38.222] Set: 371 V,  HV: 366 V,  I: 3.35 mA
[2025-06-10 17:39:38.414] Set: 374 V,  HV: 350 V,  I: 3.37 mA
[2025-06-10 17:39:38.623] Set: 396 V,  HV: 380 V,  I: 3.33 mA
[2025-06-10 17:39:38.837] Set: 481 V,  HV: 386 V,  I: 2.94 mA
[2025-06-10 17:39:39.023] Set: 484 V,  HV: 389 V,  I: 2.84 mA
[2025-06-10 17:39:39.235] Set: 502 V,  HV: 403 V,  I: 2.87 mA
[2025-06-10 17:39:39.442] Set: 422 V,  HV: 339 V,  I: 3.03 mA
[2025-06-10 17:39:39.637] Set: 407 V,  HV: 356 V,  I: 3.08 mA
[2025-06-10 17:39:39.839] Set: 416 V,  HV: 347 V,  I: 3.05 mA
[2025-06-10 17:39:40.050] Set: 368 V,  HV: 380 V,  I: 3.30 mA
[2025-06-10 17:39:40.243] Set: 383 V,  HV: 404 V,  I: 3.25 mA
[2025-06-10 17:39:40.444] Set: 375 V,  HV: 386 V,  I: 3.28 mA
[2025-06-10 17:39:40.656] Set: 497 V,  HV: 393 V,  I: 2.73 mA
[2025-06-10 17:39:40.853] Set: 507 V,  HV: 404 V,  I: 2.74 mA
[2025-06-10 17:39:41.052] Set: 495 V,  HV: 393 V,  I: 2.71 mA
[2025-06-10 17:39:41.262] Set: 387 V,  HV: 358 V,  I: 3.15 mA
[2025-06-10 17:39:41.457] Set: 388 V,  HV: 352 V,  I: 3.12 mA
[2025-06-10 17:39:41.658] Set: 389 V,  HV: 364 V,  I: 3.16 mA
[2025-06-10 17:39:41.870] Set: 399 V,  HV: 407 V,  I: 3.19 mA
[2025-06-10 17:39:42.056] Set: 394 V,  HV: 421 V,  I: 3.20 mA
[2025-06-10 17:39:42.254] Set: 414 V,  HV: 407 V,  I: 3.16 mA
[2025-06-10 17:39:42.469] Set: 496 V,  HV: 388 V,  I: 2.74 mA
[2025-06-10 17:39:42.669] Set: 489 V,  HV: 367 V,  I: 2.81 mA
[2025-06-10 17:39:42.872] Set: 499 V,  HV: 384 V,  I: 2.77 mA
[2025-06-10 17:39:43.078] Set: 359 V,  HV: 351 V,  I: 3.36 mA
[2025-06-10 17:39:43.276] Set: 380 V,  HV: 354 V,  I: 3.40 mA
[2025-06-10 17:39:43.472] Set: 369 V,  HV: 347 V,  I: 3.39 mA
[2025-06-10 17:39:43.685] Set: 474 V,  HV: 392 V,  I: 3.00 mA
[2025-06-10 17:39:43.876] Set: 485 V,  HV: 405 V,  I: 3.03 mA
[2025-06-10 17:39:44.077] Set: 477 V,  HV: 390 V,  I: 2.98 mA
