[2025-07-10 14:19:34.717]  mA
[2025-07-10 14:19:34.722]  V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:34.722] Set: 0 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:34.722] Set: 68 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:34.722] Set: 82 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:34.722]  V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:34.722] Set: 0 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:34.722] Set: 68 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:34.722] Set: 82 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:35.560] High voltage power supply Monitoring with ADS1115 Test
[2025-07-10 14:19:37.921] Set: 55 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:38.120] Set: 64 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:38.327] Set: 71 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:38.527] Set: 64 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:38.729] Set: 78 V,  HV: 1 V,  I: -0.00 mA
[2025-07-10 14:19:38.938] Set: 18 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:39.138] Set: 21 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:39.339] Set: 17 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:39.543] Set: 21 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:39.744] Set: 29 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:39.945] Set: 25 V,  HV: 0 V,  I: 0.01 mA
[2025-07-10 14:19:40.150] Set: 88 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:40.347] Set: 86 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:40.547] Set: 88 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:40.756] Set: 16 V,  HV: -0 V,  I: -0.00 mA
[2025-07-10 14:19:40.952] Set: 10 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:19:41.153] Set: 14 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:41.358] Set: 39 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:41.559] Set: 35 V,  HV: 0 V,  I: 0.01 mA
[2025-07-10 14:19:41.760] Set: 43 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:41.968] Set: 74 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:42.165] Set: 81 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:42.366] Set: 69 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:42.575] Set: -6 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:42.775] Set: 2 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:42.972] Set: -10 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:43.177] Set: 45 V,  HV: 1 V,  I: 0.01 mA
[2025-07-10 14:19:43.378] Set: 52 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:19:43.578] Set: 48 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:43.781] Set: 66 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:43.982] Set: 54 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:19:44.184] Set: 59 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:19:44.393] Set: 0 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:44.594] Set: -5 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:44.791] Set: 7 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:44.999] Set: 77 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:45.196] Set: 68 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:45.396] Set: 82 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:45.606] Set: 26 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:45.802] Set: 31 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:45.998] Set: 23 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:46.211] Set: 10 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:46.408] Set: 21 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:46.609] Set: 16 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:46.808] Set: 84 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:47.015] Set: 89 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:47.208] Set: 87 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:47.418] Set: 22 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:47.618] Set: 17 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:47.821] Set: 12 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:48.025] Set: 19 V,  HV: 0 V,  I: 0.00 mA
