Time,Current (mA)
17:39:37.216000,2.70
17:39:37.409000,2.90
17:39:37.618000,2.97
17:39:37.825000,2.93
17:39:38.019000,3.01
17:39:38.222000,3.35
17:39:38.414000,3.37
17:39:38.623000,3.33
17:39:38.837000,2.94
17:39:39.023000,2.84
17:39:39.235000,2.87
17:39:39.442000,3.03
17:39:39.637000,3.08
17:39:39.839000,3.05
17:39:40.050000,3.30
17:39:40.243000,3.25
17:39:40.444000,3.28
17:39:40.656000,2.73
17:39:40.853000,2.74
17:39:41.052000,2.71
17:39:41.262000,3.15
17:39:41.457000,3.12
17:39:41.658000,3.16
17:39:41.870000,3.19
17:39:42.056000,3.20
17:39:42.254000,3.16
17:39:42.469000,2.74
17:39:42.669000,2.81
17:39:42.872000,2.77
17:39:43.078000,3.36
17:39:43.276000,3.40
17:39:43.472000,3.39
17:39:43.685000,3.00
17:39:43.876000,3.03
17:39:44.077000,2.98
17:39:44.291000,3.00
17:39:44.489000,2.96
17:39:44.686000,3.02
17:39:44.891000,3.34
17:39:45.087000,3.36
17:39:45.295000,3.31
17:39:45.498000,2.88
17:39:45.699000,2.80
17:39:45.904000,2.83
17:39:46.101000,3.06
17:39:46.300000,3.11
17:39:46.509000,3.08
17:39:46.710000,3.28
17:39:46.906000,3.23
17:39:47.111000,3.25
17:39:47.318000,2.73
17:39:47.521000,2.72
17:39:47.720000,2.74
17:39:47.922000,3.16
17:39:48.122000,3.16
17:39:48.320000,3.20
17:39:48.532000,3.15
17:39:48.733000,3.10
17:39:48.934000,3.12
17:39:49.136000,2.78
17:39:49.336000,2.85
17:39:49.539000,2.82
17:39:49.737000,3.30
17:39:49.944000,3.38
17:39:50.145000,3.34
17:39:50.349000,3.03
17:39:50.553000,3.04
17:39:50.752000,3.01
17:39:50.951000,2.97
17:39:51.143000,2.93
17:39:51.354000,2.99
17:39:51.551000,3.36
17:39:51.764000,3.39
17:39:51.953000,3.33
17:39:52.166000,2.95
17:39:52.369000,2.85
17:39:52.567000,2.89
17:39:52.770000,3.03
17:39:52.969000,3.09
17:39:53.169000,3.05
17:39:53.381000,3.22
17:39:53.583000,3.24
17:39:53.779000,3.21
