Time,Pressure (mbar)
13:35:47,1.59E-7
13:35:48,1.60E-7
13:35:48,1.60E-7
13:35:49,1.59E-7
13:35:49,1.59E-7
13:35:50,1.60E-7
13:35:51,1.60E-7
13:35:51,1.60E-7
13:35:52,1.59E-7
13:35:52,1.60E-7
13:35:53,1.59E-7
13:35:53,1.60E-7
13:35:54,1.60E-7
13:35:54,1.60E-7
13:35:55,1.60E-7
13:35:55,1.60E-7
13:35:56,1.60E-7
13:35:56,1.59E-7
13:35:57,1.60E-7
13:35:57,1.60E-7
13:35:58,1.60E-7
13:35:58,1.59E-7
13:35:59,1.59E-7
13:36:00,1.59E-7
13:36:00,1.59E-7
13:36:01,1.59E-7
13:36:01,1.61E-7
13:36:02,1.61E-7
13:36:02,1.59E-7
13:36:03,1.59E-7
13:36:03,1.59E-7
13:36:04,1.59E-7
13:36:04,1.59E-7
13:36:05,1.59E-7
13:36:05,1.60E-7
13:36:06,1.60E-7
13:36:06,1.59E-7
13:36:07,1.60E-7
13:36:08,1.60E-7
13:36:08,1.61E-7
13:36:09,1.59E-7
13:36:09,1.59E-7
13:36:10,1.59E-7
13:36:10,1.59E-7
13:36:11,1.59E-7
13:36:11,1.59E-7
13:36:12,1.59E-7
13:36:12,1.58E-7
13:36:13,1.58E-7
13:36:13,1.60E-7
13:36:14,1.60E-7
13:36:14,1.60E-7
13:36:15,1.59E-7
13:36:16,1.60E-7
13:36:16,1.59E-7
13:36:17,1.59E-7
13:36:17,1.59E-7
13:36:18,1.59E-7
13:36:18,1.60E-7
13:36:19,1.61E-7
13:36:19,1.59E-7
13:36:20,1.60E-7
13:36:20,1.60E-7
13:36:21,1.61E-7
13:36:21,1.60E-7
13:36:22,1.59E-7
13:36:22,1.59E-7
13:36:23,1.60E-7
13:36:23,1.58E-7
13:36:24,1.59E-7
13:36:25,1.59E-7
13:36:25,1.59E-7
13:36:26,1.58E-7
13:36:26,1.60E-7
13:36:27,1.60E-7
13:36:27,1.60E-7
13:36:28,1.60E-7
13:36:28,1.59E-7
13:36:29,1.59E-7
13:36:29,1.61E-7
13:36:30,1.59E-7
13:36:30,1.59E-7
13:36:31,1.60E-7
13:36:31,1.60E-7
13:36:32,1.58E-7
13:36:33,1.58E-7
13:36:33,1.58E-7
13:36:34,1.60E-7
13:36:34,1.58E-7
13:36:35,1.59E-7
13:36:35,1.60E-7
13:36:36,1.61E-7
13:36:36,1.60E-7
13:36:37,1.59E-7
13:36:37,1.59E-7
13:36:38,1.60E-7
13:36:38,1.59E-7
13:36:39,1.59E-7
13:36:39,1.60E-7
13:36:40,1.60E-7
13:36:41,1.60E-7
13:36:41,1.60E-7
13:36:42,1.60E-7
13:36:42,1.60E-7
13:36:43,1.60E-7
13:36:43,1.61E-7
13:36:44,1.60E-7
13:36:44,1.60E-7
13:36:45,1.59E-7
13:36:45,1.59E-7
13:36:46,1.60E-7
13:36:46,1.60E-7
13:36:47,1.60E-7
13:36:48,1.61E-7
13:36:48,1.59E-7
13:36:49,1.60E-7
13:36:49,1.59E-7
13:36:50,1.59E-7
13:36:50,1.61E-7
13:36:51,1.61E-7
13:36:51,1.60E-7
13:36:52,1.61E-7
13:36:52,1.61E-7
13:36:53,1.60E-7
13:36:53,1.59E-7
13:36:54,1.60E-7
13:36:54,1.60E-7
13:36:55,1.59E-7
13:36:56,1.60E-7
13:36:56,1.59E-7
13:36:57,1.61E-7
13:36:57,1.59E-7
13:36:58,1.60E-7
13:36:58,1.59E-7
13:36:59,1.60E-7
13:36:59,1.60E-7
13:37:00,1.60E-7
13:37:00,1.60E-7
13:37:01,1.61E-7
13:37:01,1.60E-7
13:37:02,1.60E-7
13:37:03,1.60E-7
13:37:03,1.60E-7
13:37:04,1.59E-7
13:37:04,1.61E-7
13:37:05,1.59E-7
13:37:05,1.58E-7
13:37:06,1.60E-7
13:37:06,1.59E-7
13:37:07,1.61E-7
13:37:07,1.60E-7
13:37:08,1.60E-7
13:37:08,1.59E-7
13:37:09,1.59E-7
13:37:09,1.60E-7
13:37:10,1.59E-7
13:37:11,1.60E-7
13:37:11,1.60E-7
13:37:12,1.60E-7
13:37:12,1.60E-7
13:37:13,1.60E-7
13:37:13,1.59E-7
13:37:14,1.60E-7
13:37:14,1.59E-7
13:37:15,1.59E-7
13:37:15,1.59E-7
13:37:16,1.60E-7
13:37:16,1.60E-7
13:37:17,1.60E-7
13:37:18,1.60E-7
13:37:18,1.58E-7
13:37:19,1.59E-7
13:37:19,1.59E-7
13:37:20,1.59E-7
13:37:20,1.61E-7
13:37:21,1.60E-7
13:37:21,1.61E-7
13:37:22,1.59E-7
13:37:22,1.59E-7
13:37:23,1.58E-7
13:37:23,1.59E-7
13:37:24,1.59E-7
13:37:24,1.59E-7
13:37:25,1.60E-7
13:37:26,1.59E-7
13:37:26,1.60E-7
13:37:27,1.59E-7
13:37:27,1.60E-7
13:37:28,1.60E-7
13:37:28,1.60E-7
13:37:29,1.59E-7
13:37:29,1.58E-7
13:37:30,1.59E-7
13:37:30,1.59E-7
13:37:31,1.59E-7
13:37:31,1.60E-7
13:37:32,1.59E-7
13:37:32,1.60E-7
13:37:33,1.60E-7
13:37:34,1.59E-7
13:37:34,1.59E-7
13:37:35,1.58E-7
13:37:35,1.59E-7
13:37:36,1.59E-7
13:37:36,1.59E-7
13:37:37,1.59E-7
13:37:37,1.60E-7
13:37:38,1.59E-7
13:37:38,1.59E-7
13:37:39,1.60E-7
13:37:39,1.60E-7
13:37:40,1.59E-7
13:37:41,1.59E-7
13:37:41,1.61E-7
13:37:42,1.60E-7
13:37:42,1.60E-7
13:37:43,1.60E-7
13:37:43,1.60E-7
13:37:44,1.60E-7
13:37:44,1.59E-7
13:37:45,1.59E-7
13:37:45,1.59E-7
13:37:46,1.60E-7
13:37:46,1.60E-7
13:37:47,1.59E-7
13:37:47,1.61E-7
13:37:48,1.60E-7
13:37:49,1.60E-7
13:37:49,1.59E-7
13:37:50,1.59E-7
13:37:50,1.60E-7
13:37:51,1.60E-7
13:37:51,1.60E-7
13:37:52,1.60E-7
13:37:52,1.59E-7
13:37:53,1.60E-7
13:37:53,1.60E-7
13:37:54,1.61E-7
